"beautiful","beautiful","know","beautiful","beautiful","know","think","time","think","time","show","beautiful","beautiful","","","","","baby","doin","acting","","holdin","back","holdin","back","ones","doin","like","like","","bring","bring","bring","bring","back","cause","around","world","people","want","loved","yeah","cause","around","world","different","","around","world","people","want","loved","around","world","different","","around","world","world","world","around","world","world","world","crazy","girl","crazy","girl","know","crazy","girl","crazy","girl","control","light","light","explosive","crazy","girl","yeah","yeah","baby","doin","acting","","holdin","back","holdin","back","ones","doin","like","like","","bring","bring","bring","bring","back","around","world","people","want","loved","yeah","around","world","different","","around","world","people","want","loved","around","world","different","","around","world","world","world","around","world","world","world","yeah","okay","around","world","world","world","dynamic","","back","","luda","love","everything","imperfectly","perfect","everyone's","itchin","beauty","just","scratching","surface","lost","time","never","found","","","please","reverse","life","","change","make","every","second","worth","anything","","work","work","people","","deserve","give","cause","hate","","","battles","love","wins","","shine","just","like","","moon","stars","reflect","light","beauty","revolves","around","right","around","world","people","want","loved","around","world","different","","around","world","around","world","world","people","wanna","loved","around","world","around","world","world","different","","around","world","around","world","world","people","wanna","loved","around","world","around","world","world","different","","around","world","world","world","","","","","","","","","","","","","",""
"long","love","love","love","love","love","love","love","long","love","love","love","love","love","long","love","pressure","pressure","seven","billion","people","world","tryna","","tryna","","keep","together","keep","together","smile","face","even","though","heart","frowning","frowning","","","","","know","girl","know","girl","know","cruel","world","cruel","world","take","chances","long","love","starving","homeless","broke","long","love","platinum","silver","gold","long","love","love","long","love","love","soldier","soldier","fighting","every","second","","dreams","girl","dreams","girl","hova","hova","destiny's","child","scene","girl","stress","stress","","","","need","wings","","wings","","just","take","take","hand","long","love","starving","homeless","broke","long","love","platinum","silver","gold","long","love","love","long","love","love","whoa","whoa","","","know","makes","sense","hallelujah","give","time","place","rendezvous","","beat","girl","know","","","trust","couple","things","spell","without","","","","world","world","cause","just","used","tell","sky's","limit","","sky's","point","view","","stepping","like","whoa","","","cameras","point","shoot","shoot","","best","side","stand","back","point","","argue","feel","like","need","","girl","bothered","grass","ain't","always","greener","side","green","water","know","","issues","baby","true","true","true","rather","work","","ahead","start","someone","","long","love","long","love","yeah","yeah","baby","starving","homeless","broke","long","love","platinum","platinum","silver","gold","long","love","long","love","long","love","silver","gold","long","love","love","love","yeah","want","baby","long","love","love","please","","long","love","long","love","long","love","yeah","long","love","love","love","love","love",""
"across","ocean","across","","starting","forget","","look","","mountains","across","","need","","face","need","look","eyes","storm","clouds","bumps","road","upside","","know","hard","asleep","night","worry","cause","","gonna","alright","alright","sorrow","fights","worry","cause","","gonna","alright","alright","alone","room","waiting","phone","call","come","soon","","walk","thousand","miles","arms","holding","heart","","","love","","gonna","alright","alright","long","nights","bright","lights","worry","cause","","gonna","alright","alright","know","care","always","promise","just","stay","right","know","want","baby","","make","anything","cause","","gonna","alright","alright","sorrow","fights","worry","cause","","gonna","alright","alright","sorrow","fights","worry","","gonna","alright","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yeah","young","money","nicki","minaj","justin","","show","tonight","wanna","show","","","","","billion","could've","never","bought","","","","gonna","party","like","tonight","wanna","show","finer","things","life","just","forget","world","young","tonight","coming","","coming","","cause","need","beauty","beat","","make","life","complete","bout","music","makes","move","baby","like","body","rock","girl","","feel","body","rock","","","","take","","hottest","ticket","","","","","","gonna","party","like","tonight","want","show","finer","things","life","just","forget","world","young","tonight","coming","","coming","","cause","need","beauty","beat","","make","life","complete","bout","music","makes","move","baby","like","","","time","","lines","bitches","","incline","world","tours","mine","","little","letters","","sign","justin","bieber","know","i'ma","","","ether","buns","wiener","gotta","keep","","selener","beauty","beauty","beast","beauty","east","beautiful","confessions","priest","beast","beauty","streets","beat","","deceased","every","time","beauty","beat","eats","body","rock","yeah","yeah","yeah","girl","wanna","feel","body","rock","","","cause","need","love","need","beauty","beat","","make","life","complete","whoa","","","bout","need","music","makes","move","baby","like","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"believe","believe","believe","believe","know","","","knew","easy","faith","clear","matter","many","times","","knocked","floor","knew","","","standing","tall","just","look","","cause","everything","starts","something","something","nothing","nothing","heart","dream","believe","believe","days","just","broken","know","nights","doubting","kept","heart","folding","matter","many","times","","knocked","floor","knew","","","standing","tall","just","look","","","cause","everything","starts","something","something","nothing","nothing","heart","dream","believe","believe","believe","know","feels","touch","","believe","believe","believe","matter","many","times","","knocked","floor","knew","","","standing","tall","just","look","","","cause","everything","starts","something","something","nothing","nothing","heart","dream","cause","everything","starts","something","something","nothing","nothing","heart","dream","believe","believe","yeah","believe","know","feels","touch","","yeah","believe","believe","believe","believe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"boyfriend","","never","","","take","places","ain’t","never","baby","take","chance","you’ll","never","ever","know","","money","hands","","really","like","blow","swag","swag","swag","chillin","fire","eating","fondue","dunno","know","","hello","falsetto","three","","swag","","like","everything","want","","girl","","talk","boyfriend","never","","","keep","","girl","you’d","never","alone","","gentleman","anything","want","boyfriend","","never","","","","never","","","tell","like","yeah","tell","don’t","buzz","lightyear","","across","globe","don’t","never","wanna","fight","yeah","already","know","i‘ma","make","shine","bright","like","you’re","laying","snow","burr","girlfriend","girlfriend","girlfriend","girlfriend","world","ends","make","dance","spin","twirl","voice","goin","crazy","hook","like","whirl","wind","swaggy","","like","everything","want","","girl","","talk","boyfriend","never","","","keep","","girl","you’d","never","alone","","gentleman","anything","want","boyfriend","","never","","","","never","","","give","chance","cause","you’re","need","girl","spend","week","","i’ll","calling","girlfriend","","","","never","leave","girl","just","wanna","love","treat","right","boyfriend","never","","","","yeah","keep","","girl","you’d","never","alone","never","alone","gentleman","gentleman","","anything","want","boyfriend","boyfriend","","never","","","","never","","","boyfriend","","","","","yeah","","","","","","","","yeah","girl","","","","","yeah","","","","yeah","boyfriend","","","","","yeah","","","","","","","","","","","","","yeah","","","","","boyfriend","","",""
"","comes","another","morning","mind","never","wakes","without","crazy","even","","dreams","meant","happening","yeah","best","friends","since","high","","nervous","every","time","walk","phone","","","find","words","","","supposed","possibility","tryna","","maybe","","time","","tryna","keep","together","enough","enough","","young","love","catching","feelings","catching","feelings","girl","head","already","together","good","alone","better","just","want","","smile","just","","word","right","ain't","never","going","nowhere","just","tryna","","","take","","cause","everything","girl","contagious","think","finally","","left","","","mirror","","yeah","possibility","tryna","","maybe","","time","","tryna","keep","together","enough","enough","","young","love","catching","feelings","catching","feelings","girl","tell","really","feel","move","close","just","still","know","cause","take","chance","touch","hand","everything","change","know","feels","","possibility","tryna","","maybe","","time","","tryna","keep","together","enough","enough","","young","love","catching","feelings","catching","feelings","girl","catching","feelings","catching","feelings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mhmm","","","yeah","yeah","alright","mhmm","","","yeah","yeah","alright","","love","much","love","yeah","hurt","baby","yeah","","baby","cause","truth","hurts","much","things","drive","crazy","leave","heart","still","door","","help","just","selfish","","share","break","heart","pieces","honestly","truth","just","","arms","mind","cause","everytime","touch","just","","arms","","feels","right","baby","baby","please","stop","girl","","baby","know","loving","ain't","easy","mhmm","","","yeah","yeah","alright","sure","worth","","mhmm","","","yeah","yeah","alright","","reason","call","fool","cause","love","hard","rules","baby","lesson","baby","teach","behave","just","tell","gotta","just","stay","right","next","","help","just","selfish","","share","break","heart","pieces","honestly","truth","just","","arms","mind","cause","everytime","touch","just","","arms","","feels","right","baby","baby","please","stop","girl","basically","staying","live","without","baby","loving","damn","easy","yeah","ain't","need","","promise","keep","waiting","tell","baby","need","just","","arms","mind","cause","everytime","touch","just","","arms","","feels","right","baby","baby","please","stop","girl","just","","arms","mind","cause","everytime","touch","just","","arms","","feels","right","baby","baby","please","stop","girl","","arms","i'ma","make","believe","girl","mind","","","","","stop","baby","yeah","woah","","woah","baby","please","","girl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"well","","tell","story","girl","","fell","love","best","friend","around","feels","nothing","","already","broken","made","blind","never","believe","love","ever","treat","right","know","loved","aware","smile","face","ain't","going","nowhere","make","happy","","smile","wanting","tell","long","gonna","make","fall","love","know","","wall","wrapped","","around","heart","scared","","love","","unless","","","unless","","fall","well","","tell","afraid","might","cause","","amazing","friendship","wanna","lose","well","wanna","lose","either","think","","stand","sitting","around","hurting","babe","take","hand","well","know","angel","forgot","","know","breaks","heart","every","time","","","cause","know","piece","you’s","gone","every","time","done","wrong","shoulder","crying","hope","time","done","song","figured","gonna","make","fall","love","know","","wall","wrapped","","around","heart","scared","","love","love","","unless","","","unless","","fall","catch","fall","catch","fall","catch","fall","spread","wings","","","away","","unless","","can’t","","unless","","fall","gonna","make","fall","love","know","","wall","wrapped","","around","heart","scared","","love","love","","unless","","","unless","","fall","gonna","make","fall","love","love","know","","wall","wrapped","","around","heart","scared","scared","scared","","love","","unless","","","unless","","fall","catch","fall","catch","fall","catch","fall","spread","wings","","","away","","unless","listen","","fall","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"justin","bieber","","star","justin","bieber","denied","fathered","child","","good","comes","celebrity","know","also","pretty","white","","spotlight","found","recently","headlines","","record","straight","none","true","know","woman","never","","woman","okay","well","obviously","comes","along","","life","fast","lane","","said","","tour","keeps","knocking","door","leave","leave","alone","girl","stop","almost","call","cops","schemin","","wrong","cause","wanted","attention","dragging","name","dirt","dying","affection","","","cause","didn’t","give","talking","maria","wanna","like","ain't","baby","ain't","girl","maria","wanna","play","like","ain't","baby","ain't","girl","cause","talking","needs","quit","never","","know","mine","ain't","baby","ain't","girl","wilding","talk","","tell","","girl","mine","ain't","baby","ain't","girl","","magazines","","making","scene","","crazy","crazy","love","news","saying","everything","truth","faking","faking","cause","wanted","attention","dragging","name","dirt","dying","affection","","","cause","didn’t","give","talking","maria","wanna","like","ain't","baby","ain't","girl","maria","wanna","play","like","ain't","baby","ain't","girl","cause","talking","needs","quit","never","","know","mine","ain't","baby","ain't","girl","wilding","talk","","tell","","girl","mine","ain't","baby","ain't","girl","trying","trying","","girl","ain't","never","","saying","goodbye","","prove","foolness","seduces","maria","wanna","like","ain't","baby","ain't","girl","maria","wanna","play","like","ain't","baby","ain't","girl","cause","talking","needs","quit","never","","know","mine","ain't","baby","ain't","girl","wilding","talk","","tell","","girl","mine","ain't","baby","ain't","girl","ain't","baby","ain't","girl","ain't","baby","ain't","girl","ain't","baby","ain't","girl","ain't","baby","girl","","",""
