"","LHS","RHS","support","confidence","coverage","lift","count"
"74","{need}","{know}",0.272251308900524,0.852459016393443,0.319371727748691,1.21507218008319,52
"607","{just,yeah}","{know}",0.261780104712042,0.87719298245614,0.298429319371728,1.25032731081435,50
"73","{heart}","{know}",0.246073298429319,0.854545454545454,0.287958115183246,1.21804613297151,47
"603","{just,make}","{know}",0.240837696335079,0.867924528301887,0.277486910994764,1.23711630526612,46
"602","{make,yeah}","{know}",0.230366492146597,0.897959183673469,0.256544502617801,1.27992689613159,44
"599","{love,wanna}","{know}",0.225130890052356,0.877551020408163,0.256544502617801,1.25083764849223,43
"604","{love,make}","{know}",0.225130890052356,0.895833333333333,0.25130890052356,1.27689676616915,43
"72","{every}","{know}",0.219895287958115,0.875,0.25130890052356,1.24720149253731,42
"586","{love,take}","{know}",0.219895287958115,0.893617021276596,0.246073298429319,1.27373769450619,42
"593","{love,need}","{know}",0.214659685863874,0.953488372093023,0.225130890052356,1.35907670947588,41
"597","{baby,just}","{know}",0.214659685863874,0.911111111111111,0.235602094240838,1.29867330016584,41
"606","{just,never}","{know}",0.214659685863874,0.854166666666667,0.25130890052356,1.21750621890547,41
"574","{love,want}","{know}",0.209424083769634,0.888888888888889,0.235602094240838,1.26699834162521,40
"575","{know,want}","{love}",0.209424083769634,0.851063829787234,0.246073298429319,1.41350601295097,40
"592","{just,need}","{know}",0.204188481675393,0.928571428571429,0.219895287958115,1.32356076759062,39
