name,artists,id,release_date,hit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
(I Called Her) Tennessee (made famous by Tim Dugger) [Karaoke Version with Lead Vocal],Off The Record,30s5eMc8gKLktD7f4qQsIN,2012-10-23,0.0,0.488,0.646,7,-8.331,1,0.04,0.00984,0.0,0.101,0.414,171.887,226206,4
"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",Matt Redman,2MobJagQB0dGJoRqI8OT0m,2012-01-01,0.0,0.459,0.561,7,-7.091,1,0.0271,0.0839,0.0,0.0998,0.306,144.783,256933,4
100 Proof,Kellie Pickler,3A3wFMufIxSUrvfGUVYvhE,2012-01-23,0.0,0.543,0.642,1,-5.231,1,0.0255,0.386,1.44e-05,0.0983,0.161,132.291,226360,4
101,Alicia Keys,7wMPExYjxfDzu4SWDUt7dQ,2012-11-26,0.0,0.277,0.289,7,-9.389,0,0.0599,0.791,0.000632,0.0838,0.0825,170.046,387827,3
1313,The Big Pink,6OHDgi8V4Q6hFYvQavBVaF,2012-01-16,0.0,0.574,0.9,10,-7.976,0,0.063,0.000318,0.0558,0.16,0.403,105.991,352653,4
1961,The Fray,2MLQ6QSJLqaqnz00rCDsFl,2012-02-07,0.0,0.567,0.815,9,-4.787,1,0.039,0.0142,0.0,0.148,0.663,121.988,234080,4
1994,Jason Aldean,3C6WblKJq7rpsPsIafytEV,2012-10-16,1.0,0.598,0.777,11,-6.676,0,0.0396,0.183,0.0,0.111,0.821,159.942,242680,4
1997,Saint Motel,7jbIhbNMWgtfkenoeZLDNg,2012-07-10,0.0,0.345,0.806,10,-5.857,1,0.0365,0.0415,0.00776,0.0938,0.317,101.646,257293,4
2 Reasons (feat. T.I.),"Trey Songz, T.I.",6lgzJuBX3iqevLdtgNlyAU,2012-08-17,1.0,0.734,0.746,11,-5.088,1,0.0762,0.00135,0.0,0.178,0.539,94.033,197627,4
21,Delilah,31mHCYslxEmQumwNd7a4hb,2012-05-01,0.0,0.625,0.518,9,-6.76,1,0.0963,0.424,8.56e-05,0.0786,0.161,76.887,201907,4
22,Taylor Swift,6ce41JVa6KFaryfmC2bu2W,2012-10-22,1.0,0.661,0.729,7,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987,232120,4
Twenty Seven Million,Matt Redman,55Ifsg1L8t0KFgLauPDNyUW,2012/1/1,0.0,0.739,0.859,0,-4.41,1,0.0548,0.067,0.000172,0.343,0.307,124.977,256000,4
3 CATT Boogie,Kid Rock,5gCOe1VmnQgFtEUKjGV3hf,2012-11-16,0.0,0.786,0.838,5,-3.831,1,0.0381,0.127,0.000148,0.0938,0.894,119.953,264547,4
3 Kings,"Rick Ross, Dr. Dre, JAY-Z",4K1XbNoR2iq1KucQzkPnKe,2012-01-01,0.0,0.487,0.862,7,-3.668,1,0.333,0.24,0.0,0.154,0.669,84.148,261493,4
30 Days,The Saturdays,2pStP05MEfDAievC5fDcX5,2012-05-11,0.0,0.686,0.896,8,-3.984,1,0.0595,0.0072,0.0107,0.0656,0.731,130.008,186085,4
30 Minute Love Affair,Paloma Faith,1cUUCSG8ocsgedkWhVCe9x,2012-10-22,0.0,0.598,0.723,8,-5.893,1,0.0431,0.147,0.0,0.159,0.727,199.937,199387,4
4 Broken Hearts,Norah Jones,6FtRPtCKZONugroZ5ldaS6,2012-01-01,0.0,0.303,0.509,0,-8.525,1,0.0468,0.0826,0.0647,0.12,0.352,67.68,179907,4
4 Letter Word,Diggy,4HS0ivoARnh6pHkeJgKBUh,2012-03-19,0.0,0.605,0.774,3,-5.023,1,0.0862,0.0228,0.0,0.128,0.68,160.051,219667,4
40 Mark Strasse,The Shins,3klMnAnAWXdo6MomqXeJMn,2012-03-16,0.0,0.653,0.542,9,-7.542,1,0.0279,0.00567,0.00193,0.102,0.631,140.012,278533,4
"""45""",The Gaslight Anthem,25Sd73fleKUVPNqITPZkn1,2012-01-01,0.0,0.315,0.97,8,-4.709,1,0.102,0.000696,0.0,0.277,0.423,178.068,202493,4
48 to Go,The Fray,1ViVY9GWzK2HigCiDSDh76,2012-02-07,0.0,0.357,0.8,1,-5.503,1,0.0377,0.000879,0.000255,0.114,0.423,174.658,202733,3
4th And Vine,Sinéad O'Connor,1vfEb4GFAGX4Xp3miejqbh,2012-03-05,0.0,0.647,0.731,2,-8.091,1,0.0357,0.556,0.000463,0.0813,0.892,79.963,235920,4
4th Of July,Amy Macdonald,2Q7RfKKC6kqTZIWqauOiAO,2012-01-01,0.0,0.53,0.873,10,-5.878,1,0.0867,0.0202,0.0,0.492,0.594,150.024,228147,4
4th Street Feeling,Melissa Etheridge,1d1GKqeB0Q3B0DjXDoP0PZ,2012-01-01,0.0,0.72,0.331,5,-12.919,1,0.0803,0.493,2.25e-05,0.108,0.403,104.02,213240,4
5-1-5-0,Dierks Bentley,2WKCH4ISejDV9ad7iPp5XU,2012-01-01,1.0,0.554,0.849,1,-5.181,0,0.0357,0.0246,0.000233,0.31,0.683,116.992,182893,4
5/6,Jason Mraz,4Cd1nnR2RKdbFN2eTaxAFR,2012-04-13,0.0,0.467,0.614,5,-8.272,1,0.0404,0.161,1.9e-06,0.337,0.71,155.559,357213,3
50 Ways to Say Goodbye,Train,2NniAhAtkRACaMeYt48xlD,2012-04-17,1.0,0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,247947,4
77,The Big Pink,6qvozNhiGAS3bSNvG7UL3R,2012-01-16,0.0,0.48,0.894,10,-7.212,0,0.0993,0.0274,8.68e-05,0.127,0.651,86.046,283493,4
773 Love,Jeremih,0HBrQjHR5ZCYK5QYfzDbed,2012-01-01,0.0,0.582,0.458,5,-7.642,0,0.185,0.306,0.0,0.32,0.36,134.793,230213,4
88 (feat. Jadakiss),"Diggy, Jadakiss",2Iau58G6t88PxboDyYERP0,2012-03-19,0.0,0.732,0.776,4,-5.49,0,0.317,0.0208,0.0,0.288,0.839,80.01,185460,4
93 Million Miles,Jason Mraz,1s8tP3jP4GZcyHDsjvw218,2012-04-13,0.0,0.573,0.454,3,-10.286,1,0.0258,0.479,1.36e-05,0.0974,0.515,140.187,216387,4
99 Revolutions,Green Day,3CgT96psOXwPssPNvYPclP,2012-12-11,0.0,0.475,0.949,0,-3.431,1,0.0859,0.00041,0.0,0.0646,0.669,172.035,229893,4
9th Inning (feat. Timbaland),"Missy Elliott, Timbaland",0MPSjzpXhDyHAF2hGWl3mY,2012-09-18,0.0,0.676,0.867,10,-4.35,0,0.183,0.0518,0.0,0.0891,0.457,125.072,216988,4
A Disaster,Melissa Etheridge,0sXGFztu4NdZJ3Dhyhhzjr,2012-01-01,0.0,0.621,0.504,4,-10.025,0,0.0331,0.059,6.36e-05,0.325,0.432,113.297,247493,4
A Face To Call Home,John Mayer,601913bnwOH19HblKXMr2d,2012-05-18,0.0,0.529,0.375,2,-10.59,1,0.0247,0.305,3.29e-05,0.0861,0.275,136.071,285307,4
A Little Reminder That I'll Never Forget,lostprophets,5RYQLh2bVBs7AB5MnghNi7,2012-04-02,0.0,0.496,0.89,9,-4.292,1,0.0506,0.000507,0.0,0.158,0.271,130.997,256493,4
A Match Into Water,Pierce The Veil,54MXF9I8s3DuiQo3g0gZ5k,2012-07-17,0.0,0.371,0.979,1,-2.701,1,0.144,0.0002,3.67e-06,0.516,0.473,196.058,212547,4
A Matter Of Time,The Killers,4InHnDaJdFlDQDCENmm25W,2012-09-17,0.0,0.339,0.923,11,-5.259,0,0.081,0.00176,0.182,0.1,0.228,141.786,251573,4
A Million Lights,Cheryl,6t4UzzSptJlSu1n8SPT3oN,2012-01-01,0.0,0.56,0.76,7,-6.05,1,0.0584,0.355,0.0,0.291,0.362,134.935,203142,4
A Part of Me,"Neck Deep, Laura Whiteside",65LjCuIAEUX2AmWUjD9tA3,2012-09-11,0.0,0.399,0.822,4,-1.528,1,0.0524,0.322,9.14e-06,0.084,0.236,100.013,189413,4
A Place Above,"Jehnny Beth, Cillian Murphy",2zW1XlHAazTViSVM60yh6z,2020-06-12,0.0,0.503,0.289,4,-17.151,0,0.192,0.634,0.0449,0.117,0.352,164.889,73265,1
A Prayer,Gordon Bahary,5bvG3JuW5b508b29PJFsTw,2012-08-28,0.0,0.319,0.0799,5,-16.309,0,0.0363,0.952,0.00168,0.126,0.0661,115.211,263627,4
A Queens Story,Nas,5ZFe9xHarx827MT4ecHQvi,2012-01-01,0.0,0.534,0.951,10,-3.338,0,0.392,0.331,0.0,0.326,0.66,94.689,275360,4
A Rumor of Skin,Stone Sour,1MlyPHPWypoxSG6Qwb2qXv,2012-10-17,0.0,0.57,0.96,6,-3.816,1,0.177,7.88e-05,0.392,0.0505,0.332,136.03,251347,4
A Soft Place To Land,Kathleen Edwards,7djHLw3DRrDIkemd2ktKGH,2012-01-01,0.0,0.351,0.377,0,-10.112,1,0.0352,0.859,0.000533,0.099,0.157,125.766,265507,3
A Song For Where I'm From,lostprophets,4uWw5XZQdgq9VVp5fZsU2X,2012-04-02,0.0,0.4,0.959,1,-2.565,1,0.0752,7.11e-06,4.66e-06,0.116,0.669,166.068,232373,4
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,"Christina Perri, Steve Kazee",7hn8Q8WAxFdL4aZ159GI7C,2012-11-09,1.0,0.272,0.281,10,-8.131,1,0.0307,0.618,0.0,0.111,0.152,138.856,305893,3
A Wake (feat. Evan Roman),"Macklemore, Ryan Lewis, Evan Roman",3kuvg9Yt4jo2I74tpCk4zM,2012-10-09,0.0,0.687,0.736,10,-7.482,1,0.106,0.165,0.00503,0.0711,0.449,101.15,226049,4
A War You Cannot Win,All That Remains,3TRNoCpF4VmgSS1PYMThRz,2012-11-06,0.0,0.541,0.941,11,-4.715,1,0.0396,0.00114,0.0,0.577,0.519,108.036,222467,4
A Wasteland Companion,M. Ward,1SvYJ5T036qyNqF8MUiGXX,2012-04-10,0.0,0.458,0.0523,0,-15.707,1,0.0361,0.723,0.727,0.142,0.0979,86.632,174800,4
Aaliyah (feat. Jessie Ware),"Katy B, Jessie Ware",3IJGQEgU7pZOj1uDHIPfwY,2014-02-10,0.0,0.773,0.669,9,-7.145,0,0.0489,0.0541,0.0115,0.0883,0.636,126.001,278587,4
Abraham's Daughter,Arcade Fire,32vKYtEqMhQUL4nWmIUjm0,2012-01-01,0.0,0.527,0.614,4,-10.526,0,0.0333,0.0873,0.534,0.121,0.186,142.067,202293,4
Absolute Zero,Stone Sour,14EORgkbXqIx5K4Haucmnb,2012-10-17,0.0,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,229840,4
Accident Murderers,"Nas, Rick Ross",5jYiv88eMSwF6eFaqeAwcg,2012-01-01,0.0,0.545,0.884,5,-4.807,0,0.367,0.29,0.0,0.37,0.642,86.049,277653,4
Acts of Man,Frightened Rabbit,6PDDLs0XDsWyhJxIqsgzWW,2013,0.0,0.272,0.746,0,-7.31,1,0.036,0.332,0.194,0.284,0.215,93.853,293987,4
Admit It Again,Say Anything,0l5ljumpGZGtr79aOLxdZY,2012-03-13,0.0,0.263,0.971,6,-4.078,1,0.439,0.0378,0.0,0.388,0.203,164.761,252467,4
Adorn,Miguel,25cUhiAod71TIQSNicOaW3,2012-09-28,1.0,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,193147,4
Adrenaline,Shinedown,5oJrV0mGkw9dilk96X3W0c,2012-03-23,0.0,0.467,0.986,9,-2.69,1,0.0634,5.17e-05,9.21e-05,0.291,0.4,159.935,206227,4
Advice,Graham Coxon,6x9trdAVyjAnJL2NED9Xsz,2012-04-02,0.0,0.522,0.89,2,-4.657,1,0.056,0.0233,0.000183,0.207,0.832,148.936,153722,4
Affection,The All-American Rejects,3E1LabJWM4J51ypbrjADLd,2012-01-01,0.0,0.236,0.427,5,-7.394,1,0.0427,0.244,0.000301,0.208,0.0537,136.65,284213,4
After You,Pulp,4sT8kcliEkMJBUTQqKOIUb,2013-01-28,0.0,0.663,0.725,2,-8.824,1,0.0386,0.000365,0.0588,0.064,0.736,125.997,334992,4
Afterglow,Black Country Communion,3kbUDnZngXLUcG0deald28,2012-10-30,0.0,0.53,0.679,2,-7.605,1,0.0413,0.176,0.0785,0.146,0.147,123.974,366107,4
Aftershave Ocean,The Vaccines,24MeNmhtBqE9sZkKNkzzbY,2012-09-03,0.0,0.392,0.806,9,-5.081,1,0.0293,0.0013,0.00191,0.196,0.431,104.976,247987,4
Against You,Lacuna Coil,6ik8OotIniEm64d8ddhkV5,2012-01-20,0.0,0.424,0.952,7,-3.98,1,0.0711,5.19e-06,2.14e-05,0.366,0.226,100.01,230533,4
Age,Lianne La Havas,4XoxZQiUmuL1SsQfrAWbif,2012-07-09,0.0,0.809,0.304,9,-6.852,1,0.105,0.827,0.0,0.081,0.508,111.681,162960,4
Agony,Paloma Faith,62ZkL8GK1xNlPd25Ygcilu,2012-10-22,0.0,0.534,0.622,9,-6.293,1,0.05,0.127,0.0,0.12,0.15,150.136,191840,4
"Ah, Sweet Dancer",Santana,60cvFw0AoVDae3wzW0DDZG,2012-05-11,0.0,0.331,0.218,4,-12.877,0,0.037,0.977,0.852,0.0859,0.237,75.055,188360,4
Airborne Ranger Infantry,Kristy Lee Cook,0Mrj7HAEhb2lo4dmvk0JXc,2012-10-16,0.0,0.502,0.302,1,-8.106,0,0.0269,0.635,0.0,0.111,0.228,143.718,225680,5
