title,artist,date,hit,track_id,release_date,spotify.name,spotify.artists
Set Fire To The Rain,Adele,2012-02-04,1,73CMRj62VK8nUS4ezD2wvi,2011-01-24,Set Fire to the Rain,['Adele']
We Found Love,Rihanna Featuring Calvin Harris,2012-02-04,1,6qn9YLKt13AGvpq9jfO8py,2011-11-18,We Found Love,"['Rihanna', 'Calvin Harris']"
Good Feeling,Flo Rida,2012-02-04,1,2LEF1A8DOZ9wRYikWgVlZ8,2012-06-22,Good Feeling,['Flo Rida']
Turn Me On,David Guetta Featuring Nicki Minaj,2012-02-04,1,6JOlNkT0QdHeZB0wPbI9IR,2011-08-26,Turn Me On (feat. Nicki Minaj),"['David Guetta', 'Nicki Minaj']"
The One That Got Away,Katy Perry,2012-02-04,1,6hkOqJ5mE093AQf2lbZnsG,2010-01-01,The One That Got Away,['Katy Perry']
It Will Rain,Bruno Mars,2012-02-04,1,0RUGuh2uSNFJpGMSsD1F5C,2011-11-04,It Will Rain,['Bruno Mars']
Sexy And I Know It,LMFAO,2012-02-04,1,0obBFrPYkSoBJbvHfUIhkv,2011-01-01,Sexy And I Know It,['LMFAO']
Stronger (What Doesn't Kill You),Kelly Clarkson,2012-02-04,1,6D60klaHqbCl9ySc8VcRss,2011-10-24,Stronger (What Doesn't Kill You),['Kelly Clarkson']
Ni**as in Paris,Jay Z Kanye West,2012-02-04,1,4Li2WHPkuyCdtmokzW2007,2011-08-08,Ni**as In Paris,"['JAY-Z', 'Kanye West']"
Domino,Jessie J,2012-02-04,1,6MAdEUilV2p9RQUqE5bMAK,2011-01-01,Domino,['Jessie J']
Rack City,Tyga,2012-02-04,1,0srwKuJPH8yBzzFUJMBQM2,2012-01-01,Rack City,['Tyga']
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012-02-04,1,5HQVUIKwCEXpe7JIHyY734,2011-10-11,"Young, Wild & Free (feat. Bruno Mars)","['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']"
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012-02-04,1,7LcfRTgAVTs5pQGEQgUEzN,2010,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","['Maroon 5', 'Christina Aguilera']"
Dance (A$$),Big Sean Featuring Nicki Minaj,2012-02-04,1,3ZAMtgYJFoHwJjFkhkXqKr,2011-01-01,Dance (A$$) Remix,"['Big Sean', 'Nicki Minaj']"
Work Out,J. Cole,2012-02-04,1,2wAJTrFhCnQyNSD3oUgTZO,2011-09-27,Work Out,['J. Cole']
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012-02-04,1,0IkKz2J93C94Ei4BvDop7P,2011-01-01,Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']"
Without You,David Guetta Featuring Usher,2012-02-04,1,1tAutlhI9FwnKn7fVgmd5P,2011-08-26,Without You (feat. Usher),"['David Guetta', 'Usher']"
