title,artist,date,hit,track_id,name,artists,id,album.release_date
Set Fire To The Rain,Adele,2012-02-04,1,73CMRj62VK8nUS4ezD2wvi,Set Fire to the Rain,Adele,73CMRj62VK8nUS4ezD2wvi,2011-01-24
We Found Love,Rihanna Featuring Calvin Harris,2012-02-04,1,6qn9YLKt13AGvpq9jfO8py,We Found Love,"Rihanna, Calvin Harris",6qn9YLKt13AGvpq9jfO8py,2011-11-18
Good Feeling,Flo Rida,2012-02-04,1,2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,2012-06-22
Turn Me On,David Guetta Featuring Nicki Minaj,2012-02-04,1,6JOlNkT0QdHeZB0wPbI9IR,Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",6JOlNkT0QdHeZB0wPbI9IR,2011-08-26
The One That Got Away,Katy Perry,2012-02-04,1,6hkOqJ5mE093AQf2lbZnsG,The One That Got Away,Katy Perry,6hkOqJ5mE093AQf2lbZnsG,2010-01-01
It Will Rain,Bruno Mars,2012-02-04,1,0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,Bruno Mars,0RUGuh2uSNFJpGMSsD1F5C,2011-11-04
Sexy And I Know It,LMFAO,2012-02-04,1,0obBFrPYkSoBJbvHfUIhkv,Sexy And I Know It,LMFAO,0obBFrPYkSoBJbvHfUIhkv,2011-01-01
Stronger (What Doesn't Kill You),Kelly Clarkson,2012-02-04,1,6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),Kelly Clarkson,6D60klaHqbCl9ySc8VcRss,2011-10-24
Ni**as in Paris,Jay Z Kanye West,2012-02-04,1,4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,"JAY-Z, Kanye West",4Li2WHPkuyCdtmokzW2007,2011-08-08
Domino,Jessie J,2012-02-04,1,6MAdEUilV2p9RQUqE5bMAK,Domino,Jessie J,6MAdEUilV2p9RQUqE5bMAK,2011-01-01
Rack City,Tyga,2012-02-04,1,0srwKuJPH8yBzzFUJMBQM2,Rack City,Tyga,0srwKuJPH8yBzzFUJMBQM2,2012-01-01
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012-02-04,1,5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars",5HQVUIKwCEXpe7JIHyY734,2011-10-11
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012-02-04,1,7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",7LcfRTgAVTs5pQGEQgUEzN,2010
Dance (A$$),Big Sean Featuring Nicki Minaj,2012-02-04,1,3ZAMtgYJFoHwJjFkhkXqKr,Dance (A$$) Remix,"Big Sean, Nicki Minaj",3ZAMtgYJFoHwJjFkhkXqKr,2011-01-01
Work Out,J. Cole,2012-02-04,1,2wAJTrFhCnQyNSD3oUgTZO,Work Out,J. Cole,2wAJTrFhCnQyNSD3oUgTZO,2011-09-27
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012-02-04,1,0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",0IkKz2J93C94Ei4BvDop7P,2011-01-01
Without You,David Guetta Featuring Usher,2012-02-04,1,1tAutlhI9FwnKn7fVgmd5P,Without You (feat. Usher),"David Guetta, Usher",1tAutlhI9FwnKn7fVgmd5P,2011-08-26
International Love,Pitbull Featuring Chris Brown,2012-02-04,1,62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),"Pitbull, Chris Brown",62zFEHfAYl5kdHYOivj4BC,2011-06-17
Someone Like You,Adele,2012-02-04,1,1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele,1zwMYTA5nlNjZxYrvBB2pV,2011-01-24
Not Over You,Gavin DeGraw,2012-02-04,1,6j7hih15xG2cdYwIJnQXsq,Not Over You,Gavin DeGraw,6j7hih15xG2cdYwIJnQXsq,2011-09-16
The Motto,Drake Featuring Lil Wayne,2012-02-04,1,4Kz4RdRCceaA9VgTqBhBfa,The Motto,"Drake, Lil Wayne",4Kz4RdRCceaA9VgTqBhBfa,2011-11-15
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012-02-04,1,0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",0qOnSQQF0yzuPWsXrQ9paz,2011-11-11
Love You Like A Love Song,Selena Gomez & The Scene,2012-02-04,1,0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,Selena Gomez & The Scene,0laYHRpNTS6i8FXdupHkJ4,2011-01-01
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012-02-04,1,3bfqkspKABT4pPicm6wC9F,Ass Back Home (feat. Neon Hitch),"Gym Class Heroes, Neon Hitch",3bfqkspKABT4pPicm6wC9F,2011-11-11
You Da One,Rihanna,2012-02-04,1,3Yt9lRtS5V4nbJnwcgFgvC,You Da One,Rihanna,3Yt9lRtS5V4nbJnwcgFgvC,2011-11-19
I Don't Want This Night To End,Luke Bryan,2012-02-04,1,0cV4xwUA4ue2deqq4CZFko,I Don't Want This Night To End,Luke Bryan,0cV4xwUA4ue2deqq4CZFko,2011-08-09
Red Solo Cup,Toby Keith,2012-02-04,1,4YKAOXyqkKZ5gOZR0AmVMN,Red Solo Cup,Toby Keith,4YKAOXyqkKZ5gOZR0AmVMN,2011-10-21
Without You,Glee Cast,2012-02-04,1,0UrheRSNBXBiZgudI7tVQ2,My Life Would Suck Without You (Glee Cast Version),Glee Cast,0UrheRSNBXBiZgudI7tVQ2,2009-12-08
I Like It Like That,Hot Chelle Rae Featuring New Boyz,2012-02-04,1,6eFahAdQgABBj1XOM99cBG,I Like It Like That (feat. New Boyz),"Hot Chelle Rae, New Boyz",6eFahAdQgABBj1XOM99cBG,2011-11-25
Take Care,Drake Featuring Rihanna,2012-02-04,1,124NFj84ppZ5pAxTuVQYCQ,Take Care,"Drake, Rihanna",124NFj84ppZ5pAxTuVQYCQ,2011-11-15
Make Me Proud,Drake Featuring Nicki Minaj,2012-02-04,1,7yfg0Eer6UZZt5tZ1XdsWz,Make Me Proud,"Drake, Nicki Minaj",7yfg0Eer6UZZt5tZ1XdsWz,2011-11-15
Blackout,Breathe Carolina,2012-02-04,1,3RLC8jJmDOZwrJ5izaISXr,Blackout,Breathe Carolina,3RLC8jJmDOZwrJ5izaISXr,2011-07-12
Headlines,Drake,2012-02-04,1,6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,6LxSe8YmdPxy095Ux6znaQ,2011-11-15
Mr. Know It All,Kelly Clarkson,2012-02-04,1,7uRznL3LcuazKpwCTpDltz,Mr. Know It All,Kelly Clarkson,7uRznL3LcuazKpwCTpDltz,2011-10-24
Paradise,Coldplay,2012-02-04,1,6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,6nek1Nin9q48AVZcWs9e9D,2011-10-24
You Make Me Feel...,Cobra Starship Featuring Sabi,2012-02-04,1,16Of7eeW44kt0a1M0nitHM,You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",16Of7eeW44kt0a1M0nitHM,2011-08-29
You,Chris Young,2012-02-04,1,28Sc21lrWcZD9Ov4rRkPJq,Gettin' You Home,Chris Young,28Sc21lrWcZD9Ov4rRkPJq,2009-09-01
Just A Kiss,Lady Antebellum,2012-02-04,1,2OXidlnDThZR3zf36k6DVL,Just A Kiss,Lady A,2OXidlnDThZR3zf36k6DVL,2011-09-13
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2012-02-04,1,1IJYb2qBTHMoDzHgsuA86H,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",1IJYb2qBTHMoDzHgsuA86H,2013-06-24
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012-02-04,1,42EMFjvFtOki8MA0JNZqVK,5 O'Clock (feat. Lily Allen & Wiz Khalifa),"T-Pain, Lily Allen, Wiz Khalifa",42EMFjvFtOki8MA0JNZqVK,2011-12-06
Rolling In The Deep,Adele,2012-02-04,1,1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,Adele,1c8gk2PeTE04A1pIDH9YMk,2011-01-24
Pumped Up Kicks,Foster The People,2012-02-04,1,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,2011-05-23
Drink In My Hand,Eric Church,2012-02-04,1,1cktZnxiONH0hR6Q3DKy8h,Drink In My Hand,Eric Church,1cktZnxiONH0hR6Q3DKy8h,2011-01-01
Ours,Taylor Swift,2012-02-04,1,1EQn3Uc5AyUXoiPLeyCrrg,Ours,Taylor Swift,1EQn3Uc5AyUXoiPLeyCrrg,2010-10-25
Tonight Is The Night,Outasight,2012-02-04,1,0tr0D36L1RwPdUTFfyNq37,Tonight Is the Night,Outasight,0tr0D36L1RwPdUTFfyNq37,2011-09-23
Lotus Flower Bomb,Wale Featuring Miguel,2012-02-04,1,3MAgQuClHcAV8E9CbeBS6f,Lotus Flower Bomb (feat. Miguel),"Wale, Miguel",3MAgQuClHcAV8E9CbeBS6f,2011-10-28
All Your Life,The Band Perry,2012-02-04,1,2khs94jHAVzUm3Pu4mAMmv,All Your Life,The Band Perry,2khs94jHAVzUm3Pu4mAMmv,2010-01-01
Brighter Than The Sun,Colbie Caillat,2012-02-04,1,5YTtTbqxUzJHD3CpbNHerP,Brighter Than The Sun,Colbie Caillat,5YTtTbqxUzJHD3CpbNHerP,2011-01-01
Super Bass,Nicki Minaj,2012-02-04,1,3hlksXnvbKogFdPbpO9vel,Super Bass,Nicki Minaj,3hlksXnvbKogFdPbpO9vel,2010-11-22
Somebody That I Used To Know,Gotye Featuring Kimbra,2012-02-04,1,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,"Gotye, Kimbra",4wCmqSrbyCgxEXROQE6vtV,2011-01-01
Strip,Chris Brown Featuring Kevin K-MAC McCall,2012-02-04,1,0gFkruQrXlxIOo738m76Xb,Strip (feat. Kevin McCall),"Chris Brown, Kevin McCall",0gFkruQrXlxIOo738m76Xb,2012-07-03
