artist,isNew,last,peak,rank,title,week
Savage Garden,False,1,1,1,I Knew I Loved You,16
Christina Aguilera,False,2,1,2,What A Girl Wants,11
Santana Featuring Rob Thomas,False,3,1,3,Smooth,28
Brian McKnight,False,4,2,4,Back At One,24
Montell Jordan,False,15,5,5,Get It On Tonite,16
Blaque,False,5,5,6,Bring It All To Me,16
Eiffel 65,False,6,6,7,Blue (Da Ba Dee),9
"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",False,7,5,8,Hot Boyz,11
Celine Dion,False,8,8,9,That's The Way It Is,13
Marc Anthony,False,9,3,10,I Need To Know,22
Whitney Houston,False,10,4,11,My Love Is Your Love,23
Filter,False,19,12,12,Take A Picture,11
Smash Mouth,False,11,11,13,Then The Morning Comes,15
Backstreet Boys,False,16,14,14,Show Me The Meaning Of Being Lonely,6
Blink-182,False,26,15,15,All The Small Things,10
Destiny's Child,False,13,13,16,Say My Name,7
Lonestar,False,14,14,17,Amazed,27
Jagged Edge,False,18,15,18,He Can't Love U,9
Jessica Simpson,False,12,3,19,I Wanna Love You Forever,17
'N Sync,False,42,20,20,Bye Bye Bye,2
Faith Hill,False,23,21,21,Breathe,14
Mariah Carey Featuring Joe & 98 Degrees,False,22,22,22,Thank God I Found You,9
Donell Jones,False,17,7,23,U Know What's Up,20
Train,False,21,20,24,Meet Virginia,18
Third Eye Blind,False,32,25,25,Never Let You Go,3
Foo Fighters,False,20,19,26,Learn To Fly,17
Dixie Chicks,False,27,27,27,Cowboy Take Me Away,11
Ricky Martin,False,91,28,28,Shake Your Bon-Bon,12
Tim McGraw,False,29,29,29,My Best Friend,11
Sonique,False,52,30,30,It Feels So Good,3
LeAnn Rimes,False,25,23,31,Big Deal,17
Counting Crows,False,28,28,32,Hanginaround,14
Joe,False,41,33,33,I Wanna Know,6
Reba,False,31,31,34,What Do You Say,15
D'Angelo,False,56,35,35,Untitled (How Does It Feel),3
Jennifer Lopez,False,24,8,36,Waiting For Tonight,17
Goo Goo Dolls,False,33,16,37,Black Balloon,31
Enrique Iglesias,False,38,32,38,Rhythm Divine,10
LFO,False,34,10,39,Girl On TV,12
Sugar Ray,False,54,40,40,Falls Apart,4
702,False,30,4,41,Where My Girls At?,41
Lonestar,False,44,42,42,Smile,8
Mark Wills,False,51,43,43,Back At One,4
Amber,False,49,44,44,Sexual (Li Da Di),26
Kevon Edmonds,False,35,10,45,24/7,14
Eve Featuring Faith Evans,False,46,46,46,Love Is Blind,5
Dr. Dre Featuring Eminem,False,55,47,47,Forgot About Dre,3
Ginuwine,False,48,48,48,None Of Ur Friends Business,9
J-Shin Featuring LaTocha Scott,False,62,49,49,One Night Stand,7
Sugar Ray,False,40,7,50,Someday,32
Sisqo Featuring Make It Hot,False,43,40,51,Got To Get It,12
Brad Paisley,False,50,30,52,He Didn't Have To Be,16
Vertical Horizon,False,61,53,53,Everything You Want,3
Ice Cube Featuring Mack 10 & Ms. Toi,False,45,35,54,You Can Do It,10
Alan Jackson,False,47,43,55,Pop A Top,13
Angie Stone,False,60,56,56,No More Rain (In This Cloud),7
Snoop Dogg Presents Tha Eastsidaz,False,64,57,57,G'd Up,5
Guy,False,58,19,58,Dancin',8
Britney Spears,False,76,59,59,From The Bottom Of My Broken Heart,2
Ol' Dirty Bastard Featuring Kelis,False,53,33,60,Got Your Money,16
R.E.M.,False,57,57,61,The Great Beyond,7
Aaliyah,False,84,62,62,I Don't Wanna,2
Sisqo,False,74,63,63,Thong Song,2
George Strait,False,73,64,64,The Best Day,2
Jay-Z Featuring Beanie Sigel & Amil,False,65,65,65,Do It Again (Put Ya Hands Up),4
Mint Condition,False,59,30,66,If You Love Me,14
Kelis,False,68,54,67,Caught Out There,10
Sammie,False,85,68,68,I Like It,2
DMX,False,69,69,69,What's My Name,4
Clint Black,False,63,31,70,When I Said I Do,17
IMx,False,70,23,71,Stay The Night,18
Toby Keith,False,77,72,72,How Do You Like Me Now?!,2
Tracy Lawrence,False,80,73,73,Lessons Learned,2
Lou Bega,False,75,74,74,"Tricky, Tricky",2
Mary J. Blige,False,67,63,75,Deep Inside,13
Gary Allan,False,78,76,76,Smoke Rings In The Dark,3
Tracy Byrd,False,81,77,77,Put Your Hand In Mine,2
Jo Dee Messina,False,83,78,78,Because You Love Me,2
Martina McBride,True,0,79,79,Love's The Only House,1
Puff Daddy Featuring R. Kelly,False,66,2,80,Satisfy You,20
Q-Tip,False,71,71,81,Breathe And Stop,3
SHeDAISY,True,0,82,82,This Woman Needs,1
Robbie Williams,False,72,53,83,Angels,12
"Ginuwine, R.L., Tyrese, Case",False,94,83,84,The Best Man I Can Be,5
Juvenile,True,0,85,85,U Understand,1
John Michael Montgomery,False,89,45,86,Home To You,19
Lil' Wayne Featuring Juvenile & B.G.,False,86,72,87,Tha Block Is Hot,10
Limp Bizkit,False,92,88,88,Re-arranged,10
Bush,False,82,67,89,The Chemicals Between Us,19
Rage Against The Machine,False,95,69,90,Guerrilla Radio,15
Beth Hart,False,97,90,91,L.A. Song,11
Clay Walker,False,79,74,92,"Live, Laugh, Love",10
Mandy Moore,False,0,41,93,Candy,15
Joe Diffie,False,93,90,94,The Quittin' Kind,6
Sole Featuring JT Money & Kandi,False,87,21,95,"4, 5, 6",15
Destiny's Child,False,96,33,96,Bug A Boo,20
Limp Bizkit Featuring Method Man,False,90,73,97,N 2 Gether Now,10
M2M,False,98,21,98,Don't Say You Love Me,12
Dr. Dre Featuring Snoop Dogg,False,0,93,99,Still D.R.E.,5
Kenny Chesney,False,100,74,100,She Thinks My Tractor's Sexy,12
