artist,isNew,last,peak,rank,title,week,date
The Kid LAROI & Justin Bieber,False,1,1,1,Stay,11,2021-10-02
Lil Nas X & Jack Harlow,False,6,2,2,Industry Baby,9,2021-10-02
Drake Featuring Future & Young Thug,False,2,1,3,Way 2 Sexy,3,2021-10-02
Ed Sheeran,False,3,2,4,Bad Habits,13,2021-10-02
Walker Hayes,False,5,5,5,Fancy Like,14,2021-10-02
Olivia Rodrigo,False,7,1,6,Good 4 U,19,2021-10-02
Doja Cat Featuring SZA,False,8,3,7,Kiss Me More,24,2021-10-02
Drake Featuring 21 Savage & Project Pat,False,4,4,8,Knife Talk,3,2021-10-02
Lil Nas X,False,13,1,9,Montero (Call Me By Your Name),26,2021-10-02
Lil Nas X,True,0,10,10,Thats What I Want,1,2021-10-02
Dua Lipa,False,9,2,11,Levitating,51,2021-10-02
The Weeknd & Ariana Grande,False,12,1,12,Save Your Tears,41,2021-10-02
Drake Featuring Lil Baby,False,10,2,13,Girls Want Girls,3,2021-10-02
Wizkid Featuring Justin Bieber & Tems,False,17,13,14,Essence,12,2021-10-02
Drake Featuring Travis Scott,False,11,3,15,Fair Trade,3,2021-10-02
Glass Animals,False,15,15,16,Heat Waves,36,2021-10-02
Ed Sheeran,False,16,16,17,Shivers,2,2021-10-02
Doja Cat,False,21,14,18,Need To Know,15,2021-10-02
Doja Cat & The Weeknd,False,18,11,19,You Right,13,2021-10-02
Maneskin,False,30,20,20,Beggin',13,2021-10-02
The Weeknd,False,23,6,21,Take My Breath,7,2021-10-02
Jason Aldean & Carrie Underwood,False,24,15,22,If I Didn't Love You,9,2021-10-02
Olivia Rodrigo,False,20,3,23,Deja Vu,25,2021-10-02
BTS,False,14,1,24,Butter,18,2021-10-02
Olivia Rodrigo,False,37,9,25,Traitor,18,2021-10-02
Marshmello X Jonas Brothers,False,32,19,26,Leave Before You Love Me,18,2021-10-02
Farruko,False,34,26,27,Pepas,9,2021-10-02
Billie Eilish,False,36,11,28,Happier Than Ever,8,2021-10-02
Jameson Rodgers Featuring Luke Combs,False,43,29,29,Cold Beer Calling My Name,12,2021-10-02
Drake,False,19,4,30,Champagne Poetry,3,2021-10-02
Kanye West,False,26,6,31,Hurricane,4,2021-10-02
Ryan Hurd With Maren Morris,False,39,32,32,Chasing After You,21,2021-10-02
Silk Sonic (Bruno Mars & Anderson .Paak),False,31,1,33,Leave The Door Open,29,2021-10-02
Lainey Wilson,False,38,32,34,Things A Man Oughta Know,19,2021-10-02
Moneybagg Yo,False,50,33,35,Wockesha,22,2021-10-02
Justin Bieber Featuring Daniel Caesar & Giveon,False,40,1,36,Peaches,27,2021-10-02
Taylor Swift,True,0,37,37,Wildest Dreams (Taylor's Version),1,2021-10-02
Baby Keem & Kendrick Lamar,False,25,18,38,Family Ties,4,2021-10-02
Tai Verdes,False,46,39,39,A-O-K,12,2021-10-02
Drake,False,22,11,40,No Friends In The Industry,3,2021-10-02
Duncan Laurence,False,42,30,41,Arcade,24,2021-10-02
Lil Nas X Featuring Doja Cat,True,0,42,42,Scoop,1,2021-10-02
Drake Featuring Lil Durk & Giveon,False,29,7,43,In The Bible,3,2021-10-02
THE ANXIETY: WILLOW & Tyler Cole,False,64,44,44,Meet Me At Our Spot,2,2021-10-02
Roddy Ricch,False,49,20,45,Late At Night,16,2021-10-02
Lizzo Featuring Cardi B,False,44,4,46,Rumors,6,2021-10-02
Lil Nas X Featuring Megan Thee Stallion,True,0,47,47,Dolla Sign Slime,1,2021-10-02
Drake,False,27,9,48,TSU,3,2021-10-02
Megan Thee Stallion,False,48,16,49,Thot Shit,15,2021-10-02
Scotty McCreery,False,69,50,50,You Time,8,2021-10-02
Dua Lipa,False,55,51,51,Love Again,10,2021-10-02
Normani Featuring Cardi B,False,59,14,52,Wild Side,10,2021-10-02
