"title","artist","hit"
"I Knew I Loved You","Savage Garden",1
"What A Girl Wants","Christina Aguilera",1
"Smooth","Santana Featuring Rob Thomas",1
"Back At One","Brian McKnight",1
"Get It On Tonite","Montell Jordan",1
"Bring It All To Me","Blaque",1
"Blue (Da Ba Dee)","Eiffel 65",1
"Hot Boyz","Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",1
"That's The Way It Is","Celine Dion",1
"I Need To Know","Marc Anthony",1
"My Love Is Your Love","Whitney Houston",1
"Take A Picture","Filter",1
"Then The Morning Comes","Smash Mouth",1
"Show Me The Meaning Of Being Lonely","Backstreet Boys",1
"All The Small Things","Blink-182",1
"Say My Name","Destiny's Child",1
"Amazed","Lonestar",1
"He Can't Love U","Jagged Edge",1
"I Wanna Love You Forever","Jessica Simpson",1
"Bye Bye Bye","'N Sync",1
"Breathe","Faith Hill",1
"Thank God I Found You","Mariah Carey Featuring Joe & 98 Degrees",1
"U Know What's Up","Donell Jones",1
"Meet Virginia","Train",1
"Never Let You Go","Third Eye Blind",1
"Learn To Fly","Foo Fighters",1
"Cowboy Take Me Away","Dixie Chicks",1
"Shake Your Bon-Bon","Ricky Martin",1
"My Best Friend","Tim McGraw",1
"It Feels So Good","Sonique",1
"Big Deal","LeAnn Rimes",1
"Hanginaround","Counting Crows",1
"I Wanna Know","Joe",1
"What Do You Say","Reba",1
"Untitled (How Does It Feel)","D'Angelo",1
"Waiting For Tonight","Jennifer Lopez",1
"Black Balloon","Goo Goo Dolls",1
"Rhythm Divine","Enrique Iglesias",1
"Girl On TV","LFO",1
"Falls Apart","Sugar Ray",1
"Where My Girls At?","702",1
"Smile","Lonestar",1
"Sexual (Li Da Di)","Amber",1
"24/7","Kevon Edmonds",1
"Love Is Blind","Eve Featuring Faith Evans",1
"Forgot About Dre","Dr. Dre Featuring Eminem",1
"None Of Ur Friends Business","Ginuwine",1
"One Night Stand","J-Shin Featuring LaTocha Scott",1
"Someday","Sugar Ray",1
"Got To Get It","Sisqo Featuring Make It Hot",1
"He Didn't Have To Be","Brad Paisley",1
"Everything You Want","Vertical Horizon",1
"You Can Do It","Ice Cube Featuring Mack 10 & Ms. Toi",1
"Pop A Top","Alan Jackson",1
"No More Rain (In This Cloud)","Angie Stone",1
"G'd Up","Snoop Dogg Presents Tha Eastsidaz",1
"Dancin'","Guy",1
"From The Bottom Of My Broken Heart","Britney Spears",1
"Got Your Money","Ol' Dirty Bastard Featuring Kelis",1
"The Great Beyond","R.E.M.",1
"I Don't Wanna","Aaliyah",1
"Thong Song","Sisqo",1
"The Best Day","George Strait",1
"Do It Again (Put Ya Hands Up)","Jay-Z Featuring Beanie Sigel & Amil",1
"If You Love Me","Mint Condition",1
"Caught Out There","Kelis",1
"I Like It","Sammie",1
"What's My Name","DMX",1
"When I Said I Do","Clint Black",1
"Stay The Night","IMx",1
"How Do You Like Me Now?!","Toby Keith",1
"Lessons Learned","Tracy Lawrence",1
"Tricky, Tricky","Lou Bega",1
"Deep Inside","Mary J. Blige",1
"Smoke Rings In The Dark","Gary Allan",1
"Put Your Hand In Mine","Tracy Byrd",1
"Because You Love Me","Jo Dee Messina",1
"Love's The Only House","Martina McBride",1
"Satisfy You","Puff Daddy Featuring R. Kelly",1
"Breathe And Stop","Q-Tip",1
"This Woman Needs","SHeDAISY",1
"Angels","Robbie Williams",1
"The Best Man I Can Be","Ginuwine, R.L., Tyrese, Case",1
"U Understand","Juvenile",1
"Home To You","John Michael Montgomery",1
"Tha Block Is Hot","Lil' Wayne Featuring Juvenile & B.G.",1
"Re-arranged","Limp Bizkit",1
"The Chemicals Between Us","Bush",1
"Guerrilla Radio","Rage Against The Machine",1
"L.A. Song","Beth Hart",1
"Live, Laugh, Love","Clay Walker",1
"Candy","Mandy Moore",1
"The Quittin' Kind","Joe Diffie",1
