title,artist,hit
Set Fire To The Rain,Adele,1
We Found Love,Rihanna Featuring Calvin Harris,1
Good Feeling,Flo Rida,1
Turn Me On,David Guetta Featuring Nicki Minaj,1
The One That Got Away,Katy Perry,1
It Will Rain,Bruno Mars,1
Sexy And I Know It,LMFAO,1
Stronger (What Doesn't Kill You),Kelly Clarkson,1
Ni**as in Paris,Jay Z Kanye West,1
Domino,Jessie J,1
Rack City,Tyga,1
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,1
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,1
Dance (A$$),Big Sean Featuring Nicki Minaj,1
Work Out,J. Cole,1
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1
Without You,David Guetta Featuring Usher,1
International Love,Pitbull Featuring Chris Brown,1
Someone Like You,Adele,1
Not Over You,Gavin DeGraw,1
The Motto,Drake Featuring Lil Wayne,1
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,1
Love You Like A Love Song,Selena Gomez & The Scene,1
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,1
You Da One,Rihanna,1
I Don't Want This Night To End,Luke Bryan,1
Red Solo Cup,Toby Keith,1
Without You,Glee Cast,1
I Like It Like That,Hot Chelle Rae Featuring New Boyz,1
Take Care,Drake Featuring Rihanna,1
Make Me Proud,Drake Featuring Nicki Minaj,1
Blackout,Breathe Carolina,1
Headlines,Drake,1
Mr. Know It All,Kelly Clarkson,1
Paradise,Coldplay,1
You Make Me Feel...,Cobra Starship Featuring Sabi,1
You,Chris Young,1
Just A Kiss,Lady Antebellum,1
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",1
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,1
Rolling In The Deep,Adele,1
Pumped Up Kicks,Foster The People,1
Drink In My Hand,Eric Church,1
Ours,Taylor Swift,1
Tonight Is The Night,Outasight,1
Lotus Flower Bomb,Wale Featuring Miguel,1
All Your Life,The Band Perry,1
Brighter Than The Sun,Colbie Caillat,1
Super Bass,Nicki Minaj,1
Somebody That I Used To Know,Gotye Featuring Kimbra,1
Strip,Chris Brown Featuring Kevin K-MAC McCall,1
Faded,Tyga Featuring Lil Wayne,1
Alone With You,Jake Owen,1
A Thousand Years,Christina Perri,1
Keep Me In Mind,Zac Brown Band,1
We Found Love,Glee Cast,1
Can't Get Enough,J. Cole Featuring Trey Songz,1
Let It Rain,David Nail Featuring Sarah Buxton,1
Strange Clouds,B.o.B Featuring Lil Wayne,1
Heartbeat,The Fray,1
Tattoos On This Town,Jason Aldean,1
Moves Like Jagger / Jumpin' Jack Flash,Glee Cast,1
You Gonna Fly,Keith Urban,1
Glad You Came,The Wanted,1
Marry The Night,Lady Gaga,1
A Woman Like You,Lee Brice,1
Lonely Boy,The Black Keys,1
You The Boss,Rick Ross Featuring Nicki Minaj,1
Levels,Avicii,1
The First Time Ever I Saw Your Face,Glee Cast,1
I'm Gonna Love You Through It,Martina McBride,1
I Won't Give Up,Jason Mraz,1
T.H.E (The Hardest Ever),will.i.am Featuring Mick Jagger & Jennifer Lopez,1
Reality,Kenny Chesney,1
Home,Dierks Bentley,1
I Do,Young Jeezy Featuring Jay-Z & Andre 3000,1
Party,Beyonce Featuring Andre 3000,1
The Trouble With Girls,Scotty McCreery,1
Gotta Have It,Jay Z Kanye West,1
Bait A Hook,Justin Moore,1
Love On Top,Beyonce,1
Shake It Out,Florence + The Machine,1
Drive By,Train,1
Lights,Ellie Goulding,1
Storm Warning,Hunter Hayes,1
Amen,Edens Edge,1
Kyoto,Skrillex Featuring Sirah,1
Summer Nights,Glee Cast,1
We Are Young,fun. Featuring Janelle Monae,1
Countdown,Beyonce,1
Safe & Sound,Taylor Swift Featuring The Civil Wars,1
Round Of Applause,Waka Flocka Flame Featuring Drake,1
Camouflage,Brad Paisley,1
Talk That Talk,Rihanna Featuring Jay-Z,1
Where I Come From,Montgomery Gentry,1
Dancin' Away With My Heart,Lady Antebellum,1
Don't Stop (Color On The Walls),Foster The People,1
Mr. Wrong,Mary J. Blige Featuring Drake,1
Love's Gonna Make It Alright,George Strait,1
No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,1
Part Of Me,Katy Perry,1
I Will Always Love You,Whitney Houston,1
Starships,Nicki Minaj,1
Turn Up The Music,Chris Brown,1
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1
What Makes You Beautiful,One Direction,1
Greatest Love Of All,Whitney Houston,1
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,1
Wild Ones,Flo Rida Featuring Sia,1
How Will I Know,Whitney Houston,1
Runaway Baby,Bruno Mars,1
Princess Of China,Coldplay Featuring Rihanna,1
Sorry For Party Rocking,LMFAO,1
Banjo,Rascal Flatts,1
Over You,Miranda Lambert,1
Rumour Has It,Adele,1
Mirror,Lil Wayne Featuring Bruno Mars,1
Drink On It,Blake Shelton,1
Feel So Close,Calvin Harris,1
Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",1
Better Than I Used To Be,Tim McGraw,1
When I'm Gone,Wiz Khalifa,1
Scary Monsters And Nice Sprites,Skrillex,1
Stupid Hoe,Nicki Minaj,1
I Will Always Love You,Glee Cast,1
Somethin' 'Bout A Truck,Kip Moore,1
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,1
Stereo Hearts,Glee Cast,1
Bangarang,Skrillex Featuring Sirah,1
Drank In My Cup,Kirko Bangz,1
You Don't Know Her Like I Do,Brantley Gilbert,1
Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,1
Call Me Maybe,Carly Rae Jepsen,1
Good Girl,Carrie Underwood,1
Birthday Cake,Rihanna Featuring Chris Brown,1
Climax,Usher,1
So Good,B.o.B,1
Springsteen,Eric Church,1
Fly Over States,Jason Aldean,1
Ayy Ladies,Travis Porter Featuring Tyga,1
Brokenhearted,Karmin,1
UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,1
Drunk On You,Luke Bryan,1
Changed,Rascal Flatts,1
Everybody Talks,Neon Trees,1
Some Nights,fun.,1
Midnight City,M83.,1
Magic,Future Featuring T.I.,1
4 AM,Melanie Fiona,1
Do It Like You,Diggy Featuring Jeremih,1
No Hurry,Zac Brown Band,1
One Thing,One Direction,1
Even If It Breaks Your Heart,Eli Young Band,1
Sex Ain't Better Than Love,Trey Songz,1
Leave You Alone,Young Jeezy Featuring Ne-Yo,1
TTYLXOX,Bella Thorne,1
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,1
Payphone,Maroon 5 Featuring Wiz Khalifa,1
Boyfriend,Justin Bieber,1
Eyes Open,Taylor Swift,1
Dance Again,Jennifer Lopez Featuring Pitbull,1
Burn It Down,Linkin Park,1
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",1
Loud,Mac Miller,1
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,1
Stay Schemin,Rick Ross Featuring Drake & French Montana,1
Too Close,Alex Clare,1
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,1
Back In Time,Pitbull,1
Right By My Side,Nicki Minaj Featuring Chris Brown,1
Give Your Heart A Break,Demi Lovato,1
Cashin' Out,Ca$h Out,1
Somebody That I Used To Know,Glee Cast,1
