,name,artists,hit,sentiment,score
0,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",Matt Redman,0.0,positive,0.9022
1,100 Proof,Kellie Pickler,0.0,positive,0.9977
2,101,Alicia Keys,0.0,positive,0.8689
3,1313,The Big Pink,0.0,negative,-0.6927
4,1961,The Fray,0.0,neutral,-0.1434
5,1994,Jason Aldean,1.0,positive,0.9899
6,1997,Saint Motel,0.0,positive,0.9619
7,2 Reasons (feat. T.I.),"Trey Songz, T.I.",1.0,negative,-0.9996
8,21,Delilah,0.0,positive,0.5499
9,22,Taylor Swift,1.0,positive,0.9951
10,Twenty Seven Million,Matt Redman,0.0,positive,0.9981
11,3 CATT Boogie,Kid Rock,0.0,positive,0.8537
12,3 Kings,"Rick Ross, Dr. Dre, JAY-Z",0.0,negative,-0.9958
13,30 Days,The Saturdays,0.0,positive,0.9939
14,30 Minute Love Affair,Paloma Faith,0.0,positive,0.9983
15,4 Broken Hearts,Norah Jones,0.0,positive,0.5267
16,4 Letter Word,Diggy,0.0,positive,0.9994
17,40 Mark Strasse,The Shins,0.0,negative,-0.9498
18,"""45""",The Gaslight Anthem,0.0,positive,0.6994
19,48 to Go,The Fray,0.0,positive,0.9343
20,4th And Vine,Sinéad O'Connor,0.0,positive,0.9966
21,4th Of July,Amy Macdonald,0.0,positive,0.9957
22,4th Street Feeling,Melissa Etheridge,0.0,positive,0.9011
23,5-1-5-0,Dierks Bentley,1.0,positive,0.9851
24,5/6,Jason Mraz,0.0,positive,0.9948
25,50 Ways to Say Goodbye,Train,1.0,positive,0.9906
26,77,The Big Pink,0.0,positive,0.7506
27,773 Love,Jeremih,0.0,positive,0.9868
28,88 (feat. Jadakiss),"Diggy, Jadakiss",0.0,positive,0.8787
29,93 Million Miles,Jason Mraz,0.0,positive,0.9879
30,99 Revolutions,Green Day,0.0,negative,-0.9541
31,9th Inning (feat. Timbaland),"Missy Elliott, Timbaland",0.0,positive,0.9971
32,A Disaster,Melissa Etheridge,0.0,negative,-0.9594
33,A Face To Call Home,John Mayer,0.0,positive,0.5941
34,A Little Reminder That I'll Never Forget,lostprophets,0.0,negative,-0.9451
35,A Match Into Water,Pierce The Veil,0.0,negative,-0.8445
36,A Matter Of Time,The Killers,0.0,negative,-0.9509
37,A Million Lights,Cheryl,0.0,positive,0.9587
38,A Part of Me,"Neck Deep, Laura Whiteside",0.0,positive,0.9376
39,A Place Above,"Jehnny Beth, Cillian Murphy",0.0,neutral,0.3647
40,A Prayer,Gordon Bahary,0.0,positive,0.9998
41,A Queens Story,Nas,0.0,positive,0.9951
42,A Rumor of Skin,Stone Sour,0.0,negative,-0.896
43,A Soft Place To Land,Kathleen Edwards,0.0,neutral,0.0271
44,A Song For Where I'm From,lostprophets,0.0,positive,0.9876
45,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,"Christina Perri, Steve Kazee",1.0,positive,0.9975
46,A Wake (feat. Evan Roman),"Macklemore, Ryan Lewis, Evan Roman",0.0,positive,0.9715
