title,artist_x,artist_y,hit,collab
(I Called Her) Tennessee,Tim Dugger,,0.0,0.0
"10,000 Reasons (Bless the Lord)",Matt Redman,,0.0,0.0
100 Proof,Kellie Pickler,,0.0,0.0
101,Alicia Keys,,0.0,0.0
110%,Jessie Ware,,0.0,0.0
1313,The Big Pink,,0.0,0.0
1961,The Fray,,0.0,0.0
1994,Jason Aldean,Jason Aldean,1.0,0.0
1997,Saint Motel,,0.0,0.0
2 Reasons,Trey Songz,Trey Songz Featuring T.I.,1.0,1.0
21,Delilah,Delilah,0.0,0.0
22,Taylor Swift,Taylor Swift,1.0,0.0
27 Million,Matt Redman & LZ7,,0.0,0.0
3 CATT Boogie,Kid Rock,,0.0,0.0
3 Kings,Rick Ross,,0.0,0.0
30 Days,The Saturdays,,0.0,0.0
30 Minute Love Affair,Paloma Faith,,0.0,0.0
4 Broken Hearts,Norah Jones,,0.0,0.0
4 Letter Word,Diggy,,0.0,0.0
40 Mark Strasse,The Shins,,0.0,0.0
45,The Gaslight Anthem,,0.0,0.0
48 to Go,The Fray,,0.0,0.0
4th And Vine,Sinéad O'Connor,,0.0,0.0
4th of July,Amy MacDonald,,0.0,0.0
4th Street Feeling,Melissa Etheridge,,0.0,0.0
5-1-5-0,Dierks Bentley,Dierks Bentley,1.0,0.0
5/6,Jason Mraz,,0.0,0.0
50 Ways To Say Goodbye,Train,Train,1.0,0.0
77,The Big Pink,,0.0,0.0
773 Love,Jeremih,,0.0,0.0
88,Diggy,,0.0,0.0
93 Million Miles,Jason Mraz,,0.0,0.0
99 Revolutions,Green Day,,0.0,0.0
9th Inning,Missy Elliott,,0.0,0.0
A Disaster,Melissa Etheridge,,0.0,0.0
A Face to Call Home,John Mayer,,0.0,0.0
A Little Reminder That I'll Never Forget,Lostprophets,,0.0,0.0
A Match Into Water,Pierce the Veil,,0.0,0.0
A Matter Of Time,The Killers,,0.0,0.0
A Million Lights,Cheryl Cole,,0.0,0.0
A Part of Me,Neck Deep,,0.0,0.0
A Place Above,Jehnny Beth,,0.0,0.0
A Prayer,Gordon Bahary,,0.0,0.0
A Queens Story,Nas,,0.0,0.0
A Rumor Of Skin,Stone Sour,,0.0,0.0
A Soft Place To Land,Kathleen Edwards,,0.0,0.0
A Song For Where I'm From,Lostprophets,,0.0,0.0
A Thousand Years (Part Two),Christina Perri,,0.0,0.0
A Wake,Macklemore & Ryan Lewis,,0.0,0.0
A War You Cannot Win,All That Remains,,0.0,0.0
A Wasteland Companion,M. Ward,,0.0,0.0
Aaliyah,Katy B,,0.0,0.0
Abraham's Daughter,Arcade Fire,,0.0,0.0
Absolute Zero,Stone Sour,,0.0,0.0
Accident Murderers,Nas,,0.0,0.0
Acts Of Man,Frightened Rabbit,,0.0,0.0
Admit It Again,Say Anything,,0.0,0.0
Adorn,Miguel,Miguel,1.0,0.0
Adrenaline,Shinedown,,0.0,0.0
Advice,Graham Coxon,,0.0,0.0
Affection,The All-American Rejects,,0.0,0.0
After You,Pulp,,0.0,0.0
Afterglow,Black Country Communion,Black Country Communion,0.0,0.0
Aftershave Ocean,The Vaccines,,0.0,0.0
Against You,Lacuna Coil,,0.0,0.0
Age,Lianne La Havas,,0.0,0.0
Agony,Paloma Faith,,0.0,0.0
"Ah, Sweet Dancer",Santana,,0.0,0.0
Airborne Ranger Infantry,Kristy Lee Cook,,0.0,0.0
Alarm Clock,Shinee,,0.0,0.0
Albacore,Ani DiFranco,,0.0,0.0
Algiers,Calexico,,0.0,0.0
Alive,Krewella,Krewella,1.0,0.0
All Around The World,Justin Bieber,Justin Bieber Featuring Ludacris,1.0,1.0
All Gold Everything,Trinidad James,Trinidad James,1.0,0.0
All I Have Left Is You,The Offspring,,0.0,0.0
All I Need To Know,Thousand Foot Krutch,,0.0,0.0
All In,Flying Lotus,Flying Lotus,1.0,0.0
All In A Family,Loudon Wainwright III,,0.0,0.0
All In Vain,The Vaccines,,0.0,0.0
All Is Fair,Cheryl Cole,,0.0,0.0
All Is Fair,Big Wreck,,0.0,0.0
All Of Me,Estelle,Estelle,0.0,0.0
All Over the Road,Easton Corbin,,0.0,0.0
All That I Want,Robbie Williams,,0.0,0.0
All That Matters (The Beautiful Life),Kesha,,0.0,0.0
All The Little Lights,Passenger,,0.0,0.0
All the Rowboats,Regina Spektor,,0.0,0.0
All The Time,Jeremih,,0.0,0.0
All This Time,Britt Nicole,,0.0,0.0
All Those Friendly People,Funeral Suits,,0.0,0.0
All Too Well,Taylor Swift,,0.0,0.0
All Wash Out,Edward Sharpe & the Magnetic Zeros,,0.0,0.0
All We Have Is Now,The Modern Electric,,0.0,0.0
All Your Clothes,Martha Wainwright,,0.0,0.0
All Your Gold,Bat for Lashes,,0.0,0.0
Allowance,Our Lady Peace,,0.0,0.0
Alone Or With Friends,Tribes,,0.0,0.0
Alone Together,Daley,Daley,0.0,0.0
Alone With You (Maddie's Song),Ne-Yo,,0.0,0.0
Alpha Omega,Architects,,0.0,0.0
Alternative Power to the People,The Dandy Warhols,,0.0,0.0
Always Waiting,Michael Kiwanuka,,0.0,0.0
Amanaemonesia,Chairlift,,0.0,0.0
Amanita,Animal Collective,,0.0,0.0
Amaryllis,Shinedown,,0.0,0.0
Amen,Leonard Cohen,Leonard Cohen,1.0,0.0
Amen,Meek Mill,Meek Mill Featuring Drake,1.0,1.0
Amen,Paper Tongues,Paper Tongues,1.0,0.0
Amendment,Ani DiFranco,,0.0,0.0
America,Howler,,0.0,0.0
America,Deuce,,0.0,0.0
American Beautiful,The Henningsens,,0.0,0.0
American Heart,Faith Hill,,0.0,0.0
American Steel,Soulfly,,0.0,0.0
Amerigo,Patti Smith,,0.0,0.0
Amsterdam,Rick Ross,,0.0,0.0
Amy,Green Day,,0.0,0.0
Analog Man,Joe Walsh,,0.0,0.0
Anastasia,Slash,,0.0,0.0
Andrew In Drag,Magnetic Fields,,0.0,0.0
André,JoJo,,0.0,0.0
Angel,Gordon Bahary,,0.0,0.0
Angel,Sarah Brightman,,0.0,0.0
Angels,The xx,,0.0,0.0
Angels & Stars,Eric Turner,,0.0,0.0
Animal,Conor Maynard,,0.0,0.0
Animal Skins,Dry the River,,0.0,0.0
Animals,Muse,Muse,1.0,0.0
Anna Sun,Walk the Moon,,0.0,0.0
Another Camden Afternoon,The Stranglers,,0.0,0.0
Another Home,Mary Chapin Carpenter,,0.0,0.0
Another Last Goodbye,Aerosmith,,0.0,0.0
Another Love,Tom Odell,,0.0,0.0
Another Round,Fat Joe,Fat Joe Featuring Chris Brown,1.0,1.0
Another Shot,Lostprophets,,0.0,0.0
Anthem,Ringo Starr,,0.0,0.0
Anxiety,Ladyhawke,,0.0,0.0
Any Day Will Do Fine,Michael Kiwanuka,,0.0,0.0
Anyhow,Leonard Cohen,,0.0,0.0
Anyone Else,Matt Cardle,,0.0,0.0
Anything Could Happen,Ellie Goulding,Ellie Goulding,1.0,0.0
Anything We Want,Fiona Apple,,0.0,0.0
Anywhere In The World,Mark Ronson & Katy B,,0.0,0.0
Apocalypse Dreams,Tame Impala,,0.0,0.0
Apocalyptic Love,Slash,,0.0,0.0
Apocryphon,The Sword,,0.0,0.0
Apparition,Frank + Derol,,0.0,0.0
Applesauce,Animal Collective,,0.0,0.0
April Fool,Patti Smith,,0.0,0.0
Are We All We Are,Pink,,0.0,0.0
Are You With Me,Easton Corbin,,0.0,0.0
Arena,B.o.B,,0.0,0.0
Arena Rock Encore With Full Cast,The Cribs,,0.0,0.0
Arguing With Thermometers,Enter Shikari,,0.0,0.0
Army Of Me,Christina Aguilera,,0.0,0.0
Army Of Two,Olly Murs,,0.0,0.0
Around My Way (Freedom Ain't Free),Lupe Fiasco,,0.0,0.0
Artificial Nocturne,Metric,,0.0,0.0
As Far as I Remember,Papa Roach,,0.0,0.0
As Fast As You Can,Our Lady Peace,,0.0,0.0
As Is,Van Halen,,0.0,0.0
As Long As You Love Me,Justin Bieber,Justin Bieber Featuring Big Sean,1.0,1.0
As Your Friend,Chris Brown,,0.0,0.0
Ashes and Roses,Mary Chapin Carpenter,,0.0,0.0
Automatic,Nicki Minaj,Nicki Minaj,0.0,0.0
Automatic,Dawn Richard,Dawn Richard,0.0,0.0
Automatic Systematic Habit,Garbage,,0.0,0.0
Ayla,The Maccabees,,0.0,0.0
Ayy Ladies,Travis Porter,Travis Porter Featuring Tyga,1.0,1.0
B-Day Song,Madonna,,0.0,0.0
Babel,Mumford & Sons,Mumford & Sons,1.0,0.0
Baby Come Home,Scissor Sisters,,0.0,0.0
Baby Just Break,King Tuff,,0.0,0.0
Back,Colt Ford,,0.0,0.0
Back 2 Life,Sean Kingston,,0.0,0.0
Back For You,One Direction,,0.0,0.0
Back in Time,Pitbull,,0.0,0.0
Back To The Bolthole,The Cribs,,0.0,0.0
Back When,Nas,,0.0,0.0
Backseat Freestyle,Kendrick Lamar,,0.0,0.0
Backseat Serenade,All Time Low,,0.0,0.0
Backtrack,Rebecca Ferguson,,0.0,0.0
Bad Apple,Tribes,,0.0,0.0
Bad Blood,Bastille,Bastille,0.0,0.0
Bad Girls,M.I.A.,,0.0,0.0
Bad Mood,The Vaccines,,0.0,0.0
Bad Rain,Slash,,0.0,0.0
