title,artists,year,track_id,release_date,spotify.name,spotify.artists
(I Called Her) Tennessee,Tim Dugger,2012,,,,
"10,000 Reasons (Bless the Lord)",Matt Redman,2012,2MobJagQB0dGJoRqI8OT0m,2012-01-01,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",['Matt Redman']
100 Proof,Kellie Pickler,2012,3A3wFMufIxSUrvfGUVYvhE,2012-01-23,100 Proof,['Kellie Pickler']
101,Alicia Keys,2012,7wMPExYjxfDzu4SWDUt7dQ,2012-11-26,101,['Alicia Keys']
110%,Jessie Ware,2012,,,,
1313,The Big Pink,2012,6OHDgi8V4Q6hFYvQavBVaF,2012-01-16,1313,['The Big Pink']
1961,The Fray,2012,2MLQ6QSJLqaqnz00rCDsFl,2012-02-07,1961,['The Fray']
1994,Jason Aldean,2012,3C6WblKJq7rpsPsIafytEV,2012-10-16,1994,['Jason Aldean']
1997,Saint Motel,2012,7jbIhbNMWgtfkenoeZLDNg,2012-07-10,1997,['Saint Motel']
2 Reasons,Trey Songz,2012,6lgzJuBX3iqevLdtgNlyAU,2012-08-17,2 Reasons (feat. T.I.),"['Trey Songz', 'T.I.']"
21,Delilah,2012,31mHCYslxEmQumwNd7a4hb,2012-05-01,21,['Delilah']
22,Taylor Swift,2012,6ce41JVa6KFaryfmC2bu2W,2012-10-22,22,['Taylor Swift']
27 Million,Matt Redman & LZ7,2012,5st6ogCAEzsPbqOJfoJfbT,2013-08-11,27 Million,['LZ7']
3 CATT Boogie,Kid Rock,2012,5gCOe1VmnQgFtEUKjGV3hf,2012-11-16,3 CATT Boogie,['Kid Rock']
3 Kings,Rick Ross,2012,4K1XbNoR2iq1KucQzkPnKe,2012-01-01,3 Kings,"['Rick Ross', 'Dr. Dre', 'JAY-Z']"
30 Days,The Saturdays,2012,2pStP05MEfDAievC5fDcX5,2012-05-11,30 Days,['The Saturdays']
30 Minute Love Affair,Paloma Faith,2012,1cUUCSG8ocsgedkWhVCe9x,2012-10-22,30 Minute Love Affair,['Paloma Faith']
4 Broken Hearts,Norah Jones,2012,6FtRPtCKZONugroZ5ldaS6,2012-01-01,4 Broken Hearts,['Norah Jones']
4 Letter Word,Diggy,2012,4HS0ivoARnh6pHkeJgKBUh,2012-03-19,4 Letter Word,['Diggy']
40 Mark Strasse,The Shins,2012,3klMnAnAWXdo6MomqXeJMn,2012-03-16,40 Mark Strasse,['The Shins']
45,The Gaslight Anthem,2012,25Sd73fleKUVPNqITPZkn1,2012-01-01,"""45""",['The Gaslight Anthem']
48 to Go,The Fray,2012,1ViVY9GWzK2HigCiDSDh76,2012-02-07,48 to Go,['The Fray']
4th And Vine,Sinéad O'Connor,2012,,,,
4th of July,Amy MacDonald,2012,2Q7RfKKC6kqTZIWqauOiAO,2012-01-01,4th Of July,['Amy Macdonald']
4th Street Feeling,Melissa Etheridge,2012,4jC7EdiLN5W9utzmVgLSQ4,2012-01-01,4th Street Feeling,['Melissa Etheridge']
5-1-5-0,Dierks Bentley,2012,2WKCH4ISejDV9ad7iPp5XU,2012-01-01,5-1-5-0,['Dierks Bentley']
5/6,Jason Mraz,2012,4Cd1nnR2RKdbFN2eTaxAFR,2012-04-13,5/6,['Jason Mraz']
50 Ways To Say Goodbye,Train,2012,2NniAhAtkRACaMeYt48xlD,2012-04-17,50 Ways to Say Goodbye,['Train']
77,The Big Pink,2012,6qvozNhiGAS3bSNvG7UL3R,2012-01-16,77,['The Big Pink']
773 Love,Jeremih,2012,0HBrQjHR5ZCYK5QYfzDbed,2012-01-01,773 Love,['Jeremih']
88,Diggy,2012,2Iau58G6t88PxboDyYERP0,2012-03-19,88 (feat. Jadakiss),"['Diggy', 'Jadakiss']"
93 Million Miles,Jason Mraz,2012,1s8tP3jP4GZcyHDsjvw218,2012-04-13,93 Million Miles,['Jason Mraz']
99 Revolutions,Green Day,2012,3CgT96psOXwPssPNvYPclP,2012-12-11,99 Revolutions,['Green Day']
9th Inning,Missy Elliott,2012,0MPSjzpXhDyHAF2hGWl3mY,2012-09-18,9th Inning (feat. Timbaland),"['Missy Elliott', 'Timbaland']"
A Disaster,Melissa Etheridge,2012,0sXGFztu4NdZJ3Dhyhhzjr,2012-01-01,A Disaster,['Melissa Etheridge']
A Face to Call Home,John Mayer,2012,601913bnwOH19HblKXMr2d,2012-05-18,A Face To Call Home,['John Mayer']
A Little Reminder That I'll Never Forget,Lostprophets,2012,,,,
A Match Into Water,Pierce the Veil,2012,54MXF9I8s3DuiQo3g0gZ5k,2012-07-17,A Match Into Water,['Pierce The Veil']
A Matter Of Time,The Killers,2012,4InHnDaJdFlDQDCENmm25W,2012-09-17,A Matter Of Time,['The Killers']
A Million Lights,Cheryl Cole,2012,6t4UzzSptJlSu1n8SPT3oN,2012-01-01,A Million Lights,['Cheryl']
A Part of Me,Neck Deep,2012,65LjCuIAEUX2AmWUjD9tA3,2012-09-11,A Part of Me,"['Neck Deep', 'Laura Whiteside']"
A Place Above,Jehnny Beth,2012,2zW1XlHAazTViSVM60yh6z,2020-06-12,A Place Above,"['Jehnny Beth', 'Cillian Murphy']"
A Prayer,Gordon Bahary,2012,,,,
A Queens Story,Nas,2012,5ZFe9xHarx827MT4ecHQvi,2012-01-01,A Queens Story,['Nas']
A Rumor Of Skin,Stone Sour,2012,1MlyPHPWypoxSG6Qwb2qXv,2012-10-17,A Rumor of Skin,['Stone Sour']
A Soft Place To Land,Kathleen Edwards,2012,7djHLw3DRrDIkemd2ktKGH,2012-01-01,A Soft Place To Land,['Kathleen Edwards']
A Song For Where I'm From,Lostprophets,2012,,,,
A Thousand Years (Part Two),Christina Perri,2012,,,,
A Wake,Macklemore & Ryan Lewis,2012,3kuvg9Yt4jo2I74tpCk4zM,2012-10-09,A Wake (feat. Evan Roman),"['Macklemore', 'Ryan Lewis', 'Evan Roman']"
A War You Cannot Win,All That Remains,2012,3TRNoCpF4VmgSS1PYMThRz,2012-11-06,A War You Cannot Win,['All That Remains']
A Wasteland Companion,M. Ward,2012,1SvYJ5T036qyNqF8MUiGXX,2012-04-10,A Wasteland Companion,['M. Ward']
Aaliyah,Katy B,2012,3IJGQEgU7pZOj1uDHIPfwY,2014-02-10,Aaliyah (feat. Jessie Ware),"['Katy B', 'Jessie Ware']"
Abraham's Daughter,Arcade Fire,2012,32vKYtEqMhQUL4nWmIUjm0,2012-01-01,Abraham's Daughter,['Arcade Fire']
Absolute Zero,Stone Sour,2012,14EORgkbXqIx5K4Haucmnb,2012-10-17,Absolute Zero,['Stone Sour']
Accident Murderers,Nas,2012,5jYiv88eMSwF6eFaqeAwcg,2012-01-01,Accident Murderers,"['Nas', 'Rick Ross']"
Acts Of Man,Frightened Rabbit,2012,6PDDLs0XDsWyhJxIqsgzWW,2013,Acts of Man,['Frightened Rabbit']
Admit It Again,Say Anything,2012,0l5ljumpGZGtr79aOLxdZY,2012-03-13,Admit It Again,['Say Anything']
Adorn,Miguel,2012,25cUhiAod71TIQSNicOaW3,2012-09-28,Adorn,['Miguel']
Adrenaline,Shinedown,2012,5oJrV0mGkw9dilk96X3W0c,2012-03-23,Adrenaline,['Shinedown']
Advice,Graham Coxon,2012,,,,
Affection,The All-American Rejects,2012,3E1LabJWM4J51ypbrjADLd,2012-01-01,Affection,['The All-American Rejects']
