'03 Bonnie And Clyde, Jay-Z
﻿1985, The French Kicks
21 Things I Want In A Lover, Alanis Morissette
36, System Of A Down
45, Elvis Costello
57, Biffy Clyro
69 Tea, Seether
A Box Full Of Sharp Objects, The Used
A Home, The Chicks
A Lot of Things Different, Kenny Chesney
A Moment Like This, Kelly Clarkson
A Rush Of Blood To The Head, Coldplay
A Sorta Fairytale, Tori Amos
A Thousand Miles, Vanessa Carlton
A.N.I.C, Sum 41
Across The Night, Silverchair
Addicted, Simple Plan
Advertising On Police Cars, Matthew Good
Ain't Love Grand, Atreyu
Air Force Ones, Nelly
All Good Books, Paul Weller
All I Have, Jennifer Lopez
All My Life, Foo Fighters
All The Things She Said, t.A.T.u.
Alone I Break, Korn
Alone In December, Underoath
Always, Saliva
Am I Ever Going To Find Out, Lifehouse
American Girls, Counting Crows
Amsterdam, Coldplay
An Evening With El Diablo, Chevelle
Anatomy of Your Enemy, Anti-Flag
Anchor, Lifehouse
Andalé Pues, Jesse Valenzuela
Angel Below, Underoath
Angels Or Devils, Dishwalla
Anti-Pop, Matthew Good
Any Road, George Harrison
Approaching Pavonis Mons By Balloon (Utopia Planitia), The Flaming Lips
Are You In?, Incubus
Ashes to Ashes, Steve Earle
Away From The Sun, 3 Doors Down
Baby's Got a Temper, The Prodigy
Bandages, Hot Hot Heat
Bartender, Dave Matthews Band
Beautiful, Christina Aguilera
Beautiful Collision, Bic Runga
Beer For My Horses, Toby Keith and Willie Nelson
Beer Run, Todd Snider
Before I Knew Better, Brad Martin
Believe, Disturbed
Big Eyed Fish, Dave Matthews Band
Big Machine, The Goo Goo Dolls
Bissimilai, Angélique Kidjo
Boom, System Of A Down
Born To Try, Delta Goodrem
Bother, Stone Sour
Boys In The Band, The Libertines
Braided Hair, 1 Giant Leap
BRAINS!, Voltaire
Break You Off, The Roots
Bright Lights, Matchbox Twenty
Broken Wings, Flyleaf
Brokenheartsville, Joe Nichols
Bubbles, System Of A Down
Burn Away, Foo Fighters
Burndt Jamb, Weezer
Bury My Heart At The Trailer Park, Roger Clyne & the Peacemakers
Bushleaguer, Pearl Jam
Business, Eminem
Butterfly In Reverse, Counting Crows
By The Way, Red Hot Chili Peppers
Cabron, Red Hot Chili Peppers
Calendars and Clocks, The Coral
California, Phantom Planet
Can't Get You Out Of My Head, Kylie Minogue
Can't Hold Us Down, Christina Aguilera
Can't Stop, Red Hot Chili Peppers
Can't Stop Loving You, Phil Collins
Cannonball, Damien Rice
Cat Like Thief, Boxcar Racer
Cave Bop, Jerry Douglas
Ceiling Unlimited, Rush
Cheers Darlin, Damien Rice
Chic 'N' Stu, System Of A Down
Choke Me, The Used
Cleanin Out My Closet, Eminem
Clocks, Coldplay
Close to Modern, The French Kicks
Closure, Chevelle
Cloud Connected, In Flames
Clown, Mariah Carey
Cochise, Audioslave
Collie Man, Slightly Stoopid
Come Away With Me, Norah Jones
Come Back, Foo Fighters
Come Back Around, Feeder
Come Undone, Robbie Williams
Comfort In Sound, Feeder
Complicated, Avril Lavigne
Cool to Be a Fool, Joe Nichols
"Courtesy Of The Red, White And Blue (The Angry American)", Toby Keith
Cowboy Attitude, Andy Hersey
Cry, Faith Hill
Cry Me A River, Justin Timberlake
Cubicles, My Chemical Romance
Cute Without The E (Cut from the Team), Taking Back Sunday
Daft Punk Is Playing at My House, LCD Soundsystem
Dance, Nas
Danger! High Voltage, Electric Six
Days Go By, Dirty Vegas
Dead in Hollywood, Murderdolls
Dead Womb, Death From Above 1979
Decompression Period, Papa Roach
Deliverance, Opeth
Demolition Lovers, My Chemical Romance
Desensitized, Green Day
Destroyer Of Senses, Shadows Fall
Die Another Day, Madonna
Dilemma, Nelly
Dirrty, Christina Aguilera
Disease, Matchbox Twenty
Do Da Da, Green Day
Do You Know Who's Living Next Door, Barry Manilow
Do You Realize??, The Flaming Lips
Don't Forget Me, Red Hot Chili Peppers
Don't Know Why, Norah Jones
Don't You Wish You Had Somemore, The Paper Chase
Dosed, Red Hot Chili Peppers
Down, Pearl Jam
Down Now, The French Kicks
Dreaming Of You, The Coral
Drive (For Daddy Gene), Alan Jackson
Drowning Lessons, My Chemical Romance
Drunk Again, Reel Big Fish
Drunken Lullabies, Flogging Molly
Early Sunsets Over Monroeville, My Chemical Romance
Earthshine, Rush
Electrical Storm, U2
Elevator, Boxcar Racer
Elizabeth Bathory, Dissection
Emily, Bowling for Soup
Emotionless, Good Charlotte
Empty Playgrounds, Phil Keaggy
Empty Space, Lifehouse
Escape From Hellview, CKY
Eskimo, Damien Rice
Espionage, Green Day
Everyday, Bon Jovi
Extreme Ways, Moby
F--k The System, System Of A Down
Fall Into Me, Emerson Drive
Fall Out, Train
Fallen, 30 Seconds to Mars
Father Of A Son, The Ark
Feel, Robbie Williams
Feuer frei!, Rammstein
Fiend, Coal Chamber
Fight Test, The Flaming Lips
Fighter, Christina Aguilera
Fine Again, Seether
First It Giveth, Queens of the Stone Age
Flesh And Blood, Solomon Burke
Flesh Into Gear, CKY
Flinch, Alanis Morissette
Foolish, Ashanti
Force of Nature, Oasis
Four of Two, They Might Be Giants
Freeze, Rush
Frenetic Amnesic, CKY
Friends And Family, Trik Turner
FTN, Goldfinger
Gangsta Lovin', Eve
Get By, Talib Kweli
Get Free, The Vines
Get Low, Lil' Jon & The Eastside Boyz with the Ying Yang Twins
Get Off My Back, Bryan Adams
Get Over It, OK Go
Get Some Sleep, Bic Runga
Getaway, The Music
Ghost Man On Third, Taking Back Sunday
Ghost Rider, Rush
Ghosts, Maia Sharp
Gimme The Light, Sean Paul
Girl All The Bad Guys Want, Bowling for Soup
Go With The Flow, Queens of the Stone Age
God Put A Smile Upon Your Face, Coldplay
Gold In Them Hills, Ron Sexsmith
Golden Age, Midnight Oil
Gone Away, Cold
Goodbye's (The Saddest Word), Celine Dion
Grace Is Gone, Dave Matthews Band
Gravity, Bic Runga
Great Romances Of The 20th Century, Taking Back Sunday
Green Eyes, Coldplay
Grey Street, Dave Matthews Band
Grindin', Clipse
Grow Up, Simple Plan
Ha Ha You're Dead, Green Day
Hallowed Ground, W.A.S.P.
Halos And Horns, Dolly Parton
Hampmotized, Susan Tedeschi
Hands Away, Interpol
Hands Clean, Alanis Morissette
Hands On The Bible, Local H
Hard Candy, Counting Crows
Harder To Breathe, Maroon 5
He Is, Heather Headley
Head On Collision, New Found Glory
Headfirst For Halos, My Chemical Romance
Heartbreak Lullaby, The A-Teens
Heathen (The Rays), David Bowie
Heaven's A Lie, Lacuna Coil
Hello God, Dolly Parton
Here I Am, Bryan Adams
Here Is Gone, The Goo Goo Dolls
Here To Stay, Korn
Here Without You, 3 Doors Down
Hero, Chad Kroeger
Hey Mister, Custom
Highway Song, System Of A Down
Hit Somebody! (The Hockey Song), Warren Zevon
Hold On, Good Charlotte
Hollow Life, Korn
Holy, Nichole Nordeman
Home, Breaking Benjamin
"Honey, This Mirror Isn't Big Enough For The Two Of Us", My Chemical Romance
Hot In Herre, Nelly
I Am Mine, Pearl Jam
I Am The Highway, Audioslave
I Believe In A Thing Called Love, The Darkness
I Can, Nas
I Could Die For You, Red Hot Chili Peppers
I Feel So, Boxcar Racer
I Melt , Rascal Flatts
I Still Believe, Jeremy Camp
I Want My City Back, The Mighty Mighty Bosstones
I Want To Save You, Something Corporate
I Will Be Heard, Hatebreed
I'd Do Anything, Simple Plan
I'm Gonna Getcha Good!, Shania Twain
I'm Just A Kid, Simple Plan
I'm OK, Christina Aguilera
I'm The Man Who Loves You, Wilco
I'm With You, Avril Lavigne
I-E-A-I-A-I-O, System Of A Down
If These Walls Could Talk, Andy Hersey
If You're Not The One, Daniel Bedingfield
In A Little While, Uncle Kracker
In My Place, Coldplay
Infatuation, Christina Aguilera
Inhuman Creation Station, CKY
Insatiable, Darren Hayes
Into The Fire, Bruce Springsteen
It's A Jungle Out There, Randy Newman
It's Killing Me (In My Mind), Blu Cantrell
It's Love (Trippin'), Goldtrix
