#1 Fan, Plies
﻿(Coffee's for Closers), Fall Out Boy
(Don't Fall Into) The Mason's Arms, Ian Reddington
(Get Off Your) High Horse Lady, Oasis
(No More) Paddy's Lament, Flogging Molly
"1, 2, 3, 4", Plain White T's
"10,000 Nights of Thunder", Alphabeat
100 In A 55, Pop Evil
100 Yard Dash, Raphael Saadiq
111, Paul Weller
20 Dollar Nose Bleed, Fall Out Boy
21st Century Life, Sam Sparro
22 Dreams, Paul Weller
24 Hours, Tom Jones
27, Fall Out Boy
3 Peat , Lil Wayne
3 Warning Shots, Rick Springfield
31 Today, Aimee Mann
4 Minutes, Madonna
42, Coldplay
5 Years Time, Noah and the Whale
56 Bars, T.I.
5Rebbeccas, The View
6 Months, Hey Monday
60 Thompson, Razorlight
7 Things, Miley Cyrus
73 (Everything Changes), Jennifer Hanson
A Beautiful Mess, Jason Mraz
A Child's View Of The Eisenhower Years, Al Stewart
A Christmas Duel, The Hives and Cyndi Lauper
A Cinderella Story, Mudvayne
A Daily AntheM, David Cook
A Dustland Fairytale, The Killers
A Few Words in Defense of Our Country, Randy Newman
A Heady Tale, The Fratellis
A Little Better, Gnarls Barkley
A Little Bit Longer, Jonas Brothers
A Little Too Not Over You, David Archuleta
A Long and Sad Goodbye, Lenny Kravitz
A Milli, Lil Wayne
A Most Profound Quiet, Alesana
A New Hallelujah, Michael W. Smith
A Piece of What You Need, Teddy Thompson
A Snowflake Fell (And It Felt Like a Kiss), Glasvegas
A Twist In My Story, Secondhand Serenade
A Woman's Gotta Be Ready For Anything, Nichelle Nichols
A&E, Goldfrapp
A-Punk, Vampire Weekend
About A Girl, The Academy Is...
Accelerate, R.E.M.
Acid Jazz Singer, The Fratellis
Acid Tongue, Jenny Lewis
Aciiid!, Jem
Act like a Man, Neil Diamond
Addicted, P.O.D.
Addicted To Drugs, Kaiser Chiefs
Addiction, Ryan Leslie
After All These Years, Journey
After Hours, We Are Scientists
After the Hurricane, Jazmine Sullivan
Again And Again, Keane
Ain't Got Nothin', Oasis
Ain't No Rest For the Wicked, Cage the Elephant
Airplanes, Lisa Loeb
Alice, Moby
Alice Practice, Crystal Castles
Alien, Thriving Ivory
All alright, Sigur Rós
All Fur Coat & No Knickers, Chumbawamba
All Hope is Gone, Slipknot
All I Ask for Anymore, Trace Adkins
All I Ever Wanted , Basshunter
All I Want, Darius Rucker
All I Want to Do, Sugarland
All In Good Time, Leon Jackson
All My Life, Flo Rida
All My Life (In the Ghetto), Jay Rock
All Nightmare Long, Metallica
All or Nothing, Theory Of A Deadman
All The Birds Have Flown, The Coral
All The Times I Cried, Sharleen Spiteri
All We'd Ever Need, Lady A
Alleged Legends, The Streets
Almaz, Randy Crawford
Alphabet Pony, The Kills
Already Gone, Sugarland
Alright, The Subways
Alright, Darius Rucker
Always Happens Like That, Kaiser Chiefs
Always Right Behind You, The Zutons
Always Where I Need To Be, The Kooks
Amazing, Kanye West
America, Nas
America's Suitehearts, Fall Out Boy
American Boy, Estelle
Ampersand, Amanda Palmer
An Audience With The Pope, Elbow
And Winter Came..., Enya
Andelman's Yard, Mike Gordon
Angel, Jack Johnson
Angel, Natasha Bedingfield
Angel in the Sky, Bun B
