(I Called Her) Tennessee, Tim Dugger
"10,000 Reasons (Bless the Lord)",Matt Redman
100 Proof, Kellie Pickler
101, Alicia Keys
110%, Jessie Ware
1313, The Big Pink
1961, The Fray
1994, Jason Aldean
1997, Saint Motel
2 Reasons, Trey Songz
21, Delilah
22, Taylor Swift
27 Million, Matt Redman & LZ7
3 CATT Boogie, Kid Rock
3 Kings, Rick Ross
30 Days, The Saturdays
30 Minute Love Affair, Paloma Faith
4 Broken Hearts, Norah Jones
4 Letter Word, Diggy
40 Mark Strasse, The Shins
45, The Gaslight Anthem
48 to Go, The Fray
4th And Vine, Sinéad O'Connor
4th of July, Amy MacDonald
4th Street Feeling, Melissa Etheridge
5-1-5-0, Dierks Bentley
5/6, Jason Mraz
50 Ways To Say Goodbye, Train
77, The Big Pink
773 Love, Jeremih
88, Diggy
93 Million Miles, Jason Mraz
99 Revolutions, Green Day
9th Inning, Missy Elliott
A Disaster, Melissa Etheridge
A Face to Call Home, John Mayer
A Little Reminder That I'll Never Forget, Lostprophets
A Match Into Water, Pierce the Veil
A Matter Of Time, The Killers
A Million Lights, Cheryl Cole
A Part of Me, Neck Deep
A Place Above, Jehnny Beth
A Prayer, Gordon Bahary
A Queens Story, Nas
A Rumor Of Skin, Stone Sour
A Soft Place To Land, Kathleen Edwards
A Song For Where I'm From, Lostprophets
A Thousand Years (Part Two), Christina Perri
A Wake, Macklemore & Ryan Lewis
A War You Cannot Win, All That Remains
A Wasteland Companion, M. Ward
Aaliyah, Katy B
Abraham's Daughter, Arcade Fire
Absolute Zero, Stone Sour
Accident Murderers, Nas
Acts Of Man, Frightened Rabbit
Admit It Again, Say Anything
Adorn, Miguel
Adrenaline, Shinedown
Advice, Graham Coxon
Affection, The All-American Rejects
After You, Pulp
Afterglow, Black Country Communion
Aftershave Ocean, The Vaccines
Against You, Lacuna Coil
Age, Lianne La Havas
Agony, Paloma Faith
"Ah, Sweet Dancer", Santana
Airborne Ranger Infantry, Kristy Lee Cook
Alarm Clock, Shinee
Albacore, Ani DiFranco
Algiers, Calexico
Alive, Krewella
All Around The World, Justin Bieber
All Gold Everything, Trinidad James
All I Have Left Is You, The Offspring
All I Need To Know, Thousand Foot Krutch
All In, Flying Lotus
