#Beautiful, Mariah Carey
﻿#GETITRIGHT, Miley Cyrus
#thatPower, will.i.am
(800) HUMAN, Darwin Deez
(I Miss The) Tokyo Skyline, Manic Street Preachers
(You Will) Set the World On Fire, David Bowie
...As the Crow Flies, Newsted
1 Train, A$AP Rocky
11, Cassadee Pope
11:59, Michael Franti & Spearhead
14, Palma Violets
17, Avril Lavigne
17 Crimes, AFI
18 Years, DAUGHTRY
19 You + Me, Dan + Shay
1972, Jake Owen
2013, Primal Scream
23, Mike WiLL Made It
23 Degrees And South, Billy Currington
24, Sleigh Bells
3 AM, Kate Nash
3 Ways To See Despair, Manic Street Preachers
30 Year War, Manic Street Preachers
3000 Miles, Emblem3
3005, Childish Gambino
305 to My City, Drake
3:16AM, Jhené Aiko
4 Carats, Kelly Clarkson
4 Lonely Roads, Manic Street Preachers
4 the Rest of My Life, Robin Thicke
40 Acres, Pusha T
4x4, Miley Cyrus
5 Minutes, Tinie Tempah
50 Plates, Rich Gang
57 Bel Air, Heidi Feek
5AM, Katy B
5AM In Toronto, Drake
88, Wale
8:18, The Devil Wears Prada
_Arc_, Everything Everything
A Case for Shame, Moby
A Certain Light, Josh Ritter
A Couple of Forevers, Chrisette Michele
A Door Into Summer, Joe Satriani
A Girl And His Cat, Biffy Clyro
A Hot Minute, Lisa Loeb
A House Divided, Megadeth
A Life Embossed, Protest the Hero
A Light That Never Comes, Linkin Park
A Little Party Never Killed Nobody (All We Got), Fergie
A Love Like War, All Time Low
A Song About Love, Jake Bugg
A Tattered Line of String, The Postal Service
A Ton of Love, Editors
A Tooth For An Eye, The Knife
A Town Called Jubilee, Elton John
A Wolf Amongst Ravens, After the Burial
A World Without, Queensrÿche
A--hole, Eminem
A.M., Chris Young
About Farewell, Alela Diane
About That Life, Attila
Above And Beyond, Deep Purple
Acapella, Karmin
Accident Without Emergency, Biffy Clyro
Accidental Racist, Brad Paisley
Acid Rain, Alexis Jordan
Acid Rain, Avenged Sevenfold
Addicted, Dani Clay
Addicted To Pain, Alter Bridge
Addicted to You, Avicii
Adore You, Miley Cyrus
Afraid, Neko Case
Afraid Of Heights, Wavves
After All, Michael Bublé
After The Fire, Andrew McMahon
After the Music's Stopped, Jake Owen
Afterglow, Wilkinson
Afterlife, Arcade Fire
Afterwards (Bring Yo Friends), Kid Cudi
Age Of Reason, Black Sabbath
Ain't Even Drinkin', Tyler Farr
Ain't It Fun, Paramore
Ain't No Hat 4 That, Robin Thicke
Ain't That Some S--t (Interlude), J. Cole
Air, Buckcherry
Alice, Darwin Deez
Alien, Britney Spears
Alien Days, MGMT
Alive, Bo Bruce
Alive, Jessie J
Alive, Chase & Status
Alive Or Dead, Frownz
All About You, Birdy
All Alright, Zac Brown Band
All American Middle Class White Boy, Thomas Rhett
All Bad, Justin Bieber
All Cried Out, Kree Harrison
All Ends Well, Alter Bridge
All Flowers In Time Bend Towards The Sun, Jeff Buckley
All Hell Breaks Loose, Black Star Riders
All I Want, Kodaline
All I Want, B.o.B
All I've Ever Needed, AJ Michalka
All In The Wrist, Darwin Deez
All Is Forgiven, Jim James
All Lips Go Blue, HIM
All Me, Drake
All Night, Icona Pop
All Of Me, John Legend
All Or Nothing, Roll Deep
All That I've Got, Rebecca Ferguson
All That Matters, Justin Bieber
All the Love You Got, Diane Birch
All The Time, The Strokes
All The Time In The World, Deep Purple
All the Way Home, Tamar Braxton
All the Wrong Places, Example
All Things, Citizen Way
All Things All At Once, Tired Pony
All We Need Is An Island, Sammy Hagar
All Who Remain, Beware of Darkness
Alligator, Paul McCartney
Almost Home, Mariah Carey
Almost Is Never Enough, Ariana Grande
Alone, Falling in Reverse
Alone Together, Fall Out Boy
Along for the Ride, Dream Theater
Along for the Ride, Randy Houser
Already Callin' You Mine, Parmalee
Already Home, Hanson
Alvar, Goldfrapp
Always, Killswitch Engage
Always Be Your Girl, Celine Dion
Always There...In Our Hearts, The Flaming Lips
Amaze Me, Union J
Amen, Bon Jovi
American Girl, Bonnie McKee
American Noise, Skillet
Amidinine, Bombino
Amok, Atoms For Peace
Amy, Goodie Mob
And The Radio Played, Lady A
And the Snakes Start to Sing, Bring Me The Horizon
Andro Queen, Pixies
Angel, Depeche Mode
Animal, The Pigeon Detectives
Animals, Martin Garrix
Anklebiters, Paramore
Annabel, Goldfrapp
Annie I Owe You a Dance, Tim McGraw
Another Day Gone, Parmalee
Another Guy, Travis
Another Is Waiting, The Avett Brothers
Another Soulmate, Jane's Addiction
Another Spring, Blue Sky Riders
Another You, Orianthi
Antenna, Fuse ODG
Anthem For A Lost Cause, Manic Street Preachers
Antiphon, Midlake
Antivist, Bring Me The Horizon
Anxiety's Door, Merchandise
Any Weather (606 Version), Joan Jett
Anymore, Frank Turner
Anywhere But Here, Five Finger Death Punch
Applause, Lady Gaga
Appreciate, Paul McCartney
Arabella, Arctic Monkeys
Are You Getting Enough?, Professor Green
Are You In Love With a Notion?, The Courteeners
Are You Looking After Yourself, Courtney Barnett
Area 52, Yeah Yeah Yeahs
Armourland, Everything Everything
Artpop, Lady Gaga
As a Child, Portage and Main
As Holy As The Soil (That Buries Your Skin), Manic Street Preachers
Ascent Intro, Wiley
Ashley, Big Sean
Ashtrays and Heartbreaks, Snoop Lion
Asylum, John Legend
At Night In Dreams, White Denim
aTENTion, M.I.A.
Atlas, Coldplay
ATM Jam, Azealia Banks
Atmosphere, Kaskade
Attracting Flies, AlunaGeorge
Aura, Lady Gaga
Avant Gardener, Courtney Barnett
Avatar, Dayshell
Aw Naw, Chris Young
Awful Sound (Oh Eurydice), Arcade Fire
Axis, Pet Shop Boys
Ayatollah of Rock 'N' Rolla, Soulfly
AYO!, Andy Mineo
Baby Blue, King Krule
Baby I, Ariana Grande
Back Of My Hand, Ron Sexsmith
Back To Love, DJ Pauly D
Back To Love, Bobby V
Back To Me Without You, The Band Perry
Back To The Start (God's Great Dance Floor), Martin Smith
Back When We Were Beautiful, Emmylou Harris & Rodney Crowell
Backwaters, Drenge
Backyard Skulls, Frightened Rabbit
Bad, Wale
Bad Day, Justin Bieber
Bad Girl, Avril Lavigne
Bad Guy, Eminem
Bad Habit, Foals
Bagboy, Pixies
Ballroom Figured, Beady Eye
Bang Bang, will.i.am
Banga Banga, Austin Mahone
Bankrupt!, Phoenix
Baptized, DAUGHTRY
Barefoot and Buckwild, Lauren Alaina
Barriers, Suede
Bassline Junkie, Dizzee Rascal
Bathed in Grey, King Krule
Battle Born, Five Finger Death Punch
Battle Cry, Angel Haze
Battleships, DAUGHTRY
BBC, Jay-Z
Be Alone, Paramore
Beach Is Better, Jay-Z
Beachin', Jake Owen
Beat of the Music, Brett Eldredge
Beat The S--t, Lil Wayne
Beautiful Day, Joshua Radin
Beautiful Life, Union J
Beautiful Pain, 2 Chainz
Beautiful Pain, Eminem
Beautiful War, Kings of Leon
Beauty In Tragedy, August Burns Red
Because We Can, Bon Jovi
Bed Peace, Jhené Aiko
Been Caught Cheating, Stereophonics
Beer In The Headlights, Luke Bryan
Before I Ever Met You, Banks
Before We Knew They Were Good, Toby Keith
Beginning of Sorrow, Megadeth
Behind Closed Doors, Pop Evil
Behind The Veil, Dream Theater
Being Pretty Ain't Pretty, Pistol Annies
Believe In Me, Bonnie Tyler
Believer, American Authors
Belong to the World, The Weeknd
Below The Line, Josh Groban
Berzerk, Eminem
Best Day of My Life, American Authors
Best I Ever Had, Gavin DeGraw
Best Of Times, Sheryl Crow
Best Song Ever, One Direction
Better, Maggie Rose
Better Left Unsaid, Ariana Grande
Better Man, Portage and Main
Better Not To Know, Amy Grant
Better Than Words, One Direction
"Better You, Better Me", Alicia Keys
Beware, Big Sean
Beyond, Daft Punk
Biblical, Biffy Clyro
Big Banana, Havana Brown
Big TV, White Lies
Big When I Was Little, Eliza Doolittle
Billion Lights, JLS
Birth, 30 Seconds to Mars
Birthday, Katy Perry
Birthday in Los Angeles, The Maine
Bitter Rivals, Sleigh Bells
Black Bart, Volbeat
Black Belt, John Grant
Black Cat Bone, The Mission UK
Black Chandelier, Biffy Clyro
Black Dog Barking, Airbourne
Black Heart, Stone Temple Pilots
Black Nemo, Okkervil River
Black Out the Sun, Sevendust
Black Skinhead, Kanye West
Black Spot, Local Natives
Black Swan, Andrew Stockdale
Black Widow, Booty Luv
Black Widow, Cage the Elephant
Black-Hearted Woman, Cast of Stephen Ward the Musical
Blackbird, Dido
Blackest Crow, Megadeth
Blackout, Wretch 32
Blame It On Love, Los Lonely Boys
Blameless, Building 429
Bleed For Love, Jennifer Hudson
Bleed It Dry, Alter Bridge
Bleed Out, Blue October
Blind, Hurts
Blind Eye, Ron Sexsmith
Blk & Blu, Chase & Status
Blood Brothers, Luke Bryan
Blood Like Cream, Red Fang
Blood On The Leaves, Kanye West
Blood On The Snow, Erasure
Blood Red, The Maine
Bloodshed, Soulfly
Bloodsports, Drenge
Blow, Beyoncé
Blowin' Smoke, Kacey Musgraves
Blue, Beyoncé
Blue Crystal Glow, Jewel
Blue Ocean Floor, Justin Timberlake
Blue On Blue, James Blunt
"Blues, You're a Buzz Kill", Pistol Annies
Blurred Lines, Robin Thicke
Bodpa Tso, Kalsang Yarphel
Body Ache, Britney Spears
Body Party, Ciara
Bombs Away, Eels
Bones, Ginny Blackmore
Bonfire, Josh Ritter
Bonfire Heart, James Blunt
Book Of John, Tim McGraw
Book of Love, Jimmy Eat World
Boom Boom (Heartbeat), Ray Foxx
Boom Skit, M.I.A.
Boomerang, Nicole Scherzinger
Boomerang, Lyfe Jennings
Booyah, Showtek
Born in a UFO, David Bowie
Born Sinner, J. Cole
Bosco, Placebo
Boss of Me, David Bowie
Boston Square, Deaf Havana
Bounce, Iggy Azalea
Bounce It, Juicy J
Bound 2, Kanye West
Bound For Glory, Black Star Riders
Boundless (Time to Murder It), Hatebreed
Bourbon in Kentucky, Dierks Bentley
Bourgeois, Phoenix
Boxes, Travis
Boy, Nina Nesbitt
Boy Outta Here, Ciara
Boys 'Round Here, Blake Shelton
Boys in the Wood, Black Lips
Brainless, Eminem
Brand New Day, Kodaline
Brave, Josh Groban
Brave, Sara Bareilles
Brave This Storm, Trivium
Braveheart, Neon Jungle
Break Out, Scott Stapp
Break The Shell, India.Arie
Breakfast Can Wait, Prince
Breaking Point, Bullet For My Valentine
Breathe, Laura Marling
Breathe, Backstreet Boys
Breathe In Breathe Out, Tich
"Breathe, It's Over", Blue October
Brennisteinn, Sigur Rós
Bridges, Broods
Bridges, Rebecca Ferguson
Brightest Morning Star, Britney Spears
Brighton Beach, Rod Stewart
Bring On The Music, Gov't Mule
Bring The Noize, M.I.A.
Bring You Back, Brett Eldredge
Broken, Depeche Mode
Broken Arrows, DAUGHTRY
Broken Over You, Vertical Horizon
Broken Record, Little Boots
Brokenhearted, Lawson
Brother's Keeper, India.Arie
Brothers, Kid Cudi
Bubble Butt, Major Lazer
Bugatti, Ace Hood
Builder of Routines, Manic Street Preachers
Built For War, Megadeth
Bula Bula Quo (Kua Ni Lega), Status Quo
Bullet, Ryan Star
Bullets, I Am Kloot
Bully, Cat Power
Burgundy, Earl Sweatshirt
Buried Alive, Yeah Yeah Yeahs
Burn, Ellie Goulding
Burn It, Filter
Burn MF, Five Finger Death Punch
Burn!, Megadeth
Burnin' It Down, Steve Earle
Burning Lights, Chris Tomlin
Bury That, No Malice
"Busted, Disgusted or Dead", Leslie West
Butterfly, Tracy Lawrence
"Butterfly, How Long It Takes To Die", The Flaming Lips
Buzzcut Season, Lorde
Buzzin', Kellie Pickler
Buzzkill, Luke Bryan
By And Down, A Perfect Circle
By the Grace of God, Katy Perry
By the Throat, Chvrches
C'mon Kid, Dave Hause
C.L.A., k-os
Cabaret, Justin Timberlake
Call a Marine, Toby Keith
Call Me Crazy, Sevyn Streeter
Calling All Hearts, DJ Cassidy
Calm The Fire, Alter Bridge
Came Back Haunted, Nine Inch Nails
Can We Dance, The Vamps
Can You Feel It, Scotty McCreery
Can You Feel My Heart, Bring Me The Horizon
Can't Believe It, Flo Rida
Can't Help, Parachute
Can't Keep Your Mind Off, Data Romance
Can't Live Without Your Love, Janelle Monáe
Can't Pretend, Tom Odell
Can't Stop Me Now, Rod Stewart
Cannibal Holocaust, Soulfly
Cannonball, Lea Michele
Cape Of Our Hero, Volbeat
Captive Bolt Pistol, Carcass
Car Radio , Twenty One Pilots
Carolina, Parmalee
Carolina Moon, Scotty McCreery
Carried, KT Tunstall
Carry Me, Josh Wilson
Carry on… Jon, Blackmore's Night
Carry You, Union J
Cassiopeia, Sara Bareilles
Castaway, Kris Kristofferson
Casual Affair, Panic! At The Disco
Catch Every Teardrop, Martin Smith
