#Selfie, The Chainsmokers
﻿(Mortis), Kasabian
(Shiva), Kasabian
0 to 100/ The Catch Up, Drake
1%, Funeral for a Friend
10 Million People, Example
"10,000 Towns", Eli Young Band
1000 Deaths, D'Angelo
1000hp, Godsmack
11:11, Arkells
16 Shades of Blue, Tori Amos
18, One Direction
2 On, Tinashe
23, Shakira
25 Hours, Johnny Marr
30 Minute Break, The Luka State
30 Years To Life, Slash
4 Digits, Mustard
4 Small Black and White Pictures of You, DEC3
4th Quarter, Big Sean
4WP, Brad Paisley
5 AM, Hamilton Leithauser
50 Shades of Crazy, Chase Rice
"50,000 Watts", Rosanne Cash
6 God, Drake
6 Words, Wretch 32
7/11, Beyoncé
74 Is the New 24, Giorgio Moroder
747, Lady A
8 Good Reasons, Sinéad O'Connor
8 Nights of Joy, Katherine Jenkins
90 to Nothing, Mac Powell
90s Music, Kimbra
A Beginner's Guide to Destroying the Moon, Foster the People
A Better Tomorrow, Wu-Tang Clan
A Billion Girls, Elyar Fox
A Dog's Life, Wild Beasts
A Dozen Roses and a Six-Pack, Cole Swindell
A Feather's Not A Bird, Rosanne Cash
A Guy Walks Into a Bar, Tyler Farr
A Little Bit of Me, Melissa Etheridge
A Little Bit of Your Heart, Ariana Grande
A Little Memory, Josh Thompson
A Little More, Eric Hutchinson
A Man Who Was Gonna Die Young, Eric Church
A Million Random Digits, ...And You Will Know Us by the Trail of Dead
A Million Ways to Die, Alan Jackson
A New House, Deacon Blue
A New Reality, Klaxons
A Place With No Name, Michael Jackson
A Plan Too Far, Chrissie Hynde
A Rose By Any Name, Blondie
A Simple Beautiful Truth, Wild Beasts
A Sky Full Of Stars, Coldplay
A Stolen Kiss, Robert Plant
A Street, Leonard Cohen
A Tale of 2 Citiez, J. Cole
A Town Called Paradise, Tiesto
A Woman's Rant, Jo Dee Messina
A World With You, Jason Mraz
A&E, Clean Bandit
A.K.A., Jennifer Lopez
About The Money, T.I.
Ace In The Hole, Saint Motel
Achy Breaky 2, Buck 22
Across The Water, Neneh Cherry
Acting Like That, Jennifer Lopez
Action Cat, Gerard Way
Add Me In, Chris Brown
Adrenalina, Wisin
Afire Love, Ed Sheeran
Afraid of Nothing, Sharon Van Etten
After Party, Dustin Lynch
After The Disco, Broken Bells
Agatha Chang, Eels
Ain't No Easy Way, Jason Aldean
Ain't No Man, Angaleena Presley
Ain't Worth the Whiskey, Cole Swindell
Air Balloon, Lily Allen
Air Guitar, McBusted
Akeda, Matisyahu
Al's Coral, Howler
Alexandra, Hamilton Leithauser
Alive, Augustana
All About It, Hoodie Allen
All About That Bass, Meghan Trainor
All About You, Hilary Duff
All Along, Ryan Hobler
All Bad Things Must End, Mötley Crüe
All Fall Down, California Breed
All For Nothing, Linkin Park
All For One, Five for Fighting
All For You, Alex & Sierra
All Hands On Deck, Tinashe
All His Saints, Lee Ann Womack
All I Ever Need, Austin Mahone
All I Ever Wanted, Vance Joy
All I Need is You, Lecrae
All In, Brad Paisley
All In One Night, Cheryl Cole
All Is Fair In Love And Brostep, Skrillex
All My Friends Are Dead, Sebastian Bach
All My Love, Major Lazer
All of the Stars, Ed Sheeran
All or Nothing at All, Switchfoot
All Rise, Wovenwar
All That's Left, Miranda Lambert
All the Rage Back Home, Interpol
All There Is To Say, Wishbone Ash
All Things Go, Nicki Minaj
All Under One Roof Raving, Jamie xx
All We Got, Andy Mineo
All You Can Carry, Tom Petty & the Heartbreakers
All You Had To Do Was Stay, Taylor Swift
All You've Ever Wanted, Casting Crowns
All-American Kid, Garth Brooks
Allons-y (1), Pink Floyd
Almost Everything, The Hold Steady
Almost Like The Blues, Leonard Cohen
Alone Again, Betty Who
Already Home, A Great Big World
Always, Leihoku
Always In My Head, Coldplay
Always Into Something, Stalley
Always On, Death From Above 1979
Am I Wrong, Nico & Vinz
American Dream Plan B, Tom Petty & the Heartbreakers
American Dreamers, Kristian Bush
American Flag on the Moon, Brad Paisley
American Kids, Kenny Chesney
American Middle Class, Angaleena Presley
Amnesia, 5 Seconds of Summer
Among The Living Dead, Iced Earth
An Island, Chevelle
Anaconda, Nicki Minaj
And He's Waiting, Danika Portz
And We Run, Within Temptation
Angel in Blue Jeans, Train
Angel Like You, Eli Young Band
Angel Of Small Death And The Codeine Scene, Hozier
Animal Ambition, 50 Cent
Animal Heart, Nina Persson
Animales, Romeo Santos
Animals, Maroon 5
Anomaly, Lecrae
Another Day, Druckfarben
Another Life, D'Angelo
Another Sunday in the South, Miranda Lambert
Another Train, Mary Gauthier
Another's Arms, Coldplay
ANOTHERLOVE, Prince
Anyone Else, Blake Shelton
Anything Goes, Florida Georgia Line
Anytime, Ciara
Anywhere For You, John Martin
AOV, Slipknot
Aphorismic Wasteland Blues, Howler
Apparently, J. Cole
Aquarius, Tinashe
Arbaden (Maggie's Babby), Robert Plant
Are You Leaving With Him, Luke Bryan
Are You What You Want to Be, Foster the People
Are You With Me, Lost Frequencies
Armorist, Overkill
Army of Angels, The Script
Around Town, The Kooks
Arrival In Nara, Alt-J
Arrows, Fences
Arsonist's Lullabye, Hozier
Artificial Light, Demon Hunter
As Bright As The Darkness, Devil You Know
As Long As I Got You, Lily Allen
As Long as You Love Me, Caleb Johnson
Ash and Ember, Augustana
Ask Yourself, Foster the People
Asleep in the Deep, Mastodon
At Night, Example
At the Cross (Love Ran Red), Chris Tomlin
Atlas, Coheed and Cambria
ATM, Ray J
Aunt Lisa, Mastodon
Automatic, Miranda Lambert
Autumn Leaves, Chris Brown
Autumn'68, Pink Floyd
Avalanche, Nick Jonas
Avaritia, Deadmau5
Awake Too Long, Rise Against
Ba55, Switchfoot
Babies Makin' Babies, Miranda Lambert
Baby Be My Love Song, Easton Corbin
Baby Come Back To Bed, Rumer
Baby Come On With It, Natalie Stovall and the Drive
Baby Don't Lie, Gwen Stefani
Baby Ride Easy Out, Johnny Cash
"Baby, the Rain Must Fall", BlackHawk
Bacchanalia, Down
Back Home, Andy Grammer
Back In The 90's (BoJack Theme Song), Grouplove
Back In The Box, Johnny Marr
Back in the Tall Grass, Future Islands
Back to Earth, Steve Aoki
Back to the Beginning Again, Switchfoot
Back to the Future (Part I), D'Angelo
Back to the Shack, Weezer
Back To You, Alex & Sierra
Back Together, Jesse McCartney
Backroads, Lonely The Brave
Bad, David Guetta
Bad Blood, Taylor Swift
Bad Boy, Carissa Leigh
Bad Girl Phase, Sunny Sweeney
Bad Thing, Kiesza
Bailando, Enrique Iglesias
Balmain Jeans, Kid Cudi
Bang Bang, Jessie J
Bang My Head, David Guetta
Baptism by Fire, AC/DC
Bartender, Lady A
Bated Breath, Tinashe
Bathroom Sink, Miranda Lambert
Battle Cry, Imagine Dragons
Battleground, Slash
Be Lucky, The Who
Be My Baby, Ariana Grande
Be My Forever, Christina Perri
Be Prepared For Hell, Slipknot
Be Right, Asher Roth
Be Who You Are, You Me at Six
Bear With Me, Bayside
Beating Heart, Ellie Goulding
Beautiful, Kylie Minogue
Beautiful, Jeezy
Beautiful & Wild, Kris Allen
Beautiful Life 2 (Mine), Trip Lee
Beautiful Ruin, Jhené Aiko
Bed Of Lies, Nicki Minaj
Before It's Over, Sixx: A.M.
Beg For It, Iggy Azalea
Beggin For Thread, Banks
Being Beige, Smashing Pumpkins
Believe Me, Lil Wayne
Bend Ova, Lil Jon
Beneath The Savage Sun, Slash
Benz Friendz (Whatchutola), Future
Beside You, 5 Seconds of Summer
Best Friend, Foster the People
Best Mistake, Ariana Grande
Better Man, Paolo Nutini
Better Off, Sara Evans
Better Off Red, Angaleena Presley
Better Place, Rumer
Better Strangers, Royal Blood
Between the Clock and the Bed, Manic Street Preachers
Beyond Boundaries, Steve Aoki
Beyond Me, Demon Hunter
Beyond The Veil , Lindsey Stirling
Big Bad World, Jamie Lynn Spears
Big Cheese, Bayside
Big Eyes, Lana Del Rey
Big Fat Lie, Nicole Scherzinger
Big Girls Cry, Sia
Biggy, Warpaint
Bill Murray, Phantogram
Birch, Clean Bandit
Birds of the High Arctic, David Gray
Birth In Reverse, St. Vincent
Biscuits 'n' Gravy, Kelis
Bitch I'm Madonna, Madonna
Black 13, Exodus
Black and White, Parquet Courts
Black Kid on a Pink Bike, DEC3
Black Me Out , Against Me!
Black Square, Manic Street Preachers
Black Widow, Iggy Azalea
Black Widow, In This Moment
Blackbird Chain, Beck
Blak Majik, Common
Blame, Calvin Harris
Blame It on Me, George Ezra
Blame It On The Stars, Andy Grammer
Blank Space, Taylor Swift
Blaze, Colbie Caillat
Bleed With Me, Rubicon Cross
Bless the Telephone, Kelis
Blind Threats, ScHoolboy Q
Blk & Wht, Rick Ross
"Blonde Girl, Blue Dress", Benmont Tench
"Blood In, Blood Out", Exodus
"Blood, Sweat, Tears", Future
Bloodflood Pt.II, Alt-J
Bloodstream, Ed Sheeran
Blue Charlotte, John Mellencamp
Blue Eyed Hexe, Pixies
Blue Gangsta, Michael Jackson
Blue Moon, Beck
Blue Roses, Flyleaf
Blue Smoke, Dolly Parton
Blue Velvet, Childhood
Bo$$, Fifth Harmony
Body Language, Kid Ink
Body of My Own, Charli XCX
Boggy Creek, Boggy Creek
Bones, Little May
Bones Exposed, Of Mice & Men
Bonzai Kamikaze, Cavalera Conspiracy
Boom Clap, Charli XCX
Booty, Jennifer Lopez
Born In Chains, Leonard Cohen
Born This Way, Thousand Foot Krutch
Borrowed Time, Thompson Square
Bother You, D'banj
Bottoms Up, Brantley Gilbert
Bow, Kasabian
Bows & Arrows, Kaiser Chiefs
Boy Racers, Metronomy
Boys Get Straight, Johnny Marr
Boys Latin, Panda Bear
Boyzone, Liars
Brain, Banks
Brand New, Pharrell Williams
Brand New Dance, Loudon Wainwright III
Brand New Day, David Nail
Break Free, Ariana Grande
Break the Bank, ScHoolboy Q
Break The Cycle, You+Me
Break The Cycle, Motionless in White
Break The Rules, Charli XCX
Break Up In A Small Town, Sam Hunt
Break Up Song, Pixie Lott
Break Up with Him, Old Dominion
Break Your Heart Right Back, Ariana Grande
Breakdown, Prince
Breakfast, Kelis
Breaking Skin, Nonpoint
Breaking Up, Charli XCX
Breathe, California Breed
Bridges, Joe
Bright, Echosmith
Bright Side, Allison Veltz
Bring Back the Music, Jennifer Hudson
Bringing Back the Sunshine, Blake Shelton
Brixton, The Madden Brothers
Broken, Lecrae
Broken As Me, Papa Roach
Broken Car, Matisyahu
Broken Cross, Architects
Broken Together, Casting Crowns
Broken Wings, Anastacia
Brooklyn Baby, Lana Del Rey
Brother, Needtobreathe
Brother, The Madden Brothers
Brothers And Sisters, Twin Atlantic
Brushy Mountain Conjugal Trailer, Old Crow Medicine Show
BTK, Exodus
Bubblegum, Jason Derulo
Budapest, George Ezra
Bulletproof Picasso, Train
Bullets In The Wind, Angels & Airwaves
Bullit, Watermät
Bully, Robbie Williams
Bumblebeee, Kasabian
Bumpin' The Night, Florida Georgia Line
Buried Alive, Logic
Burn Up the Road, Liam Finn
Burnin' It Down, Jason Aldean
Burnin' Up, Jessie J
Burning Bridges, Ludacris
Burning Gold, Christina Perri
Bury Our Friends, Sleater-Kinney
Business Pleasure, Little Boots
Busy Earnin', Jungle
Buy a Heart, Nicki Minaj
Buzz Back Girl, Jerrod Niemann
Buzzin', Blake Shelton
C.A.N.C.E.R., Architects
Cadillactica, Big K.R.I.T.
California, Amelia Lily
California (There Is No End To Love), U2
California Rain, The Madden Brothers
Call Me, Metronomy
Call Me, St. Paul & the Broken Bones
Call My Name, Avery Sunshine
Call Your Mother, Johnny Cash
Calm After the Storm, The Common Linnets
Calm Down, Busta Rhymes
Can't Do Without You, Caribou
Can't Face The World Alone, Example
Can't Get Enough, Becky G
Can't Rely on You, Paloma Faith
Can't Remember To Forget You, Shakira
Can't Stop, Theophilus London
Can't Stop Dancing, Becky G
Can't Stop Loving You, Sara Evans
Can't Stop Playing (Makes Me High), Dr. Kucho! & Gregor Salto
Can't Wait Another Day, The String Cheese Incident
Candidate, Johnny Marr
Cannons, Kaiser Chiefs
Canvas of Life, Epica
Canyon Moon, Andrew McMahon in the Wilderness
Careless, Royal Blood
Carolina Can, Chase Rice
Carpe Diem, You Me at Six
Carry Me, Bombay Bicycle Club
Carry On, Lisa Stansfield
Castles In The Air, Architects
Catch, Allie X
Catch Tomorrow, Afrojack
Cathy, Skinny Lister
Caution To The Wind, Becky Hill
CC, Warpaint
Cecilia and the Satellite, Andrew McMahon in the Wilderness
Cedar Lane, First Aid Kit
Cedarwood Road, U2
Celebrate, Pitbull
Cellophane, Sia
Centuries, Fall Out Boy
Cesspits, Napalm Death
Chains, Nick Jonas
Champagne Kisses, Jessie Ware
Chandelier, Sia
Change, Ace Frehley
Change Your Mind, The Horrors
Change Your Ticket, One Direction
Changes, Faul & Wad Ad vs Pnau
Changing, Sigma
Charge, Elbow
Chartjunk, Stephen Malkmus & the Jicks
Chase the Paper, 50 Cent
Chasing Hearts, Breathe Carolina
Chasing Shadows, The Horrors
Chasing the Sun, Hilary Duff
Chasing Time, Azealia Banks
Cheer Up!, A Great Big World
Cherry Wine, Hozier
Chicago, Michael Jackson
Children of the Sun, Klaxons
Children of the Universe, Molly
Choice Kingdom, Alt-J
Christ Copyright, Nothing More
Christmas in Blue Chair Bay, Kenny Chesney
Christmas Kissin', The Henningsens
Cinnamon and Lesbians, Stephen Malkmus & the Jicks
City Lights, Tim McGraw
City of Gold, DragonForce
Clean, Taylor Swift
Cleopatra, Weezer
