$ave Dat Money, Lil Dicky
﻿'Round Here Buzz, Eric Church
(I Like It When You) Smile," Harry Connick, Jr."
(This Ain't No) Drunk Dial , A Thousand Horses
+1, Martin Solveig
1 Sun, Miley Cyrus
10 Bands, Drake
"10,000 Summers", No Devotion
100, Game
100 (Built For This), Dappy
100 Degrees, Kylie Minogue
100 Grandkids, Mac Miller
100 Years, Jordin Sparks
11:11, Jordin Sparks
12/17/12, The Decemberists
123 Victory, Kirk Franklin
187 A.C.A.B., Prayers
2 Phones, Kevin Gates
2 Poor Kids, Ruth B
21, Hunter Hayes
24 Frames, Jason Isbell
28 Thousand Days, Alicia Keys
30 For 30 (Freestyle) , Drake and Future
35 MPH Town, Toby Keith
3500, Travis Scott
3am Bounce, No BS! Brass Band
4 Degrees, Anohni
5 A.M., David Gilmour
502 Come Up, Bryson Tiller
512, Lamb Of God
6 Man, Drake
679, Fetty Wap
6PM in New York, Drake
7 Years, Lukas Graham
9 Shots, 50 Cent
90059, Jay Rock
[JFK], Muse
A Beautiful Exit, Miguel
A Boat Lies Waiting, David Gilmour
A Boy Needs A Bike , Jewel
A Bridge Over You, The Lewisham and Greenwich NHS Choir
A Certain Comfort, Tech N9ne
A Change of Heart, The 1975
A Country Called Home, Ryan Bingham
A Friend for Life , Rod Stewart
A Good Heart, Elton John
A Head Full Of Dreams, Coldplay
A Knife In The Ocean, Foals
A Little More, Machine Gun Kelly
A Message, Kelela
A Million Stars, Andy McCluskey
A New Wave, Sleater-Kinney
A Proper Polish Welcome, Torres
A Quick Death in Texas, Clutch
A Rock Star Bucks A Coffee Shop, Neil Young
A Teardrop to the Sea, Bon Jovi
A.D.I.D.A.S., Little Mix
A.M. , One Direction
ABC, Cody Simpson
Aberdeen, Kurt Cobain
About to Get Real, Easton Corbin
Absolution Calling, Incubus
Acquainted, The Weeknd
Act like You Love Me, Shawn Mendes
Addicted, Jesse Malin
Adore, Cashmere Cat
Adventure of a Lifetime, Coldplay
After the Storm Blows Through, Maddie & Tae
Afterglow, Chvrches
Afterlife, Greyson Chance
Aftermath, Muse
Aftertaste, Shawn Mendes
Aftertaste, Ellie Goulding
Again, Fetty Wap
Ahead Of Myself, Jamie Lawson
AhHa, Nate Ruess
Ain't Enough Whiskey, Kid Rock
Ain't Going To Heaven, Gangstagrass
Ain't Got Far to Go, Jess Glynne
