#29 Strafford Apts, Bon Iver
﻿00000 Million, Bon Iver
1 Night, Lil Yachty
10 (Death Breast) , Bon Iver
100% Or Nothing, Primal Scream
12 Bar Blues, Aaron Lee Tasjan
13 Voices, Sum 41
16 Beat, Metronomy
16 Shots, Vic Mensa
1944, Jamala
1973, Beth Orton
1st Day Out tha Feds, Gucci Mane
2 Minute Warning, Twenty88
21 Questions, Waterparks
21 Summer, Brothers Osborne
2100, Run The Jewels
22 (Over Soon), Bon Iver
24 Hrs, Olly Murs
24K Magic, Bruno Mars
2nd Avenue, Phil Vassar
311215, Shura
"33 ""GOD""", Bon Iver
33 Crows, Kula Shaker
333, Against Me!
4 Lane Gone, Colt Ford
4 Your Eyez Only, J. Cole
40 Oz. Dream, Good Charlotte
400 Bones, Frightened Rabbit
"50,000", Sting
6 Inch, Beyoncé
7, Catfish and the Bottlemen
715 - CRYYKS, Bon Iver
80's Mercedes, Maren Morris
8teen, Garth Brooks
9, Drake
96, Turin Brakes
A Different World, Korn
A Guy With a Girl, Blake Shelton
A Little More Love, Jerrod Niemann
A Little More Summertime, Jason Aldean
A Lonely Night, The Weeknd
A Love Song , Ladyhawke
A Place For Us, Fitz and the Tantrums
A Time To Buy, Katie Melua
A Whole Lot More to Me, Craig Morgan
A Willie Nice Christmas , Kacey Musgraves
A Wonderful Life, Brian Fallon
A-Yo, Lady Gaga
A.D., Hatebreed
A.I., OneRepublic
Abeja, Sofie
Above Control, Warpaint
Absolutely, Ra Ra Riot
Acting Crazy, Randy Rogers Band
Action, Mavis Staples
Addison Lee, Not3s
Adore, Savages
Advice, Kehlani
Afraid of Heights, Billy Talent
After the Afterparty , Charli XCX
Afterglow, Young Guns
Aggressive, Beartooth
Agnes, Glass Animals
Ain't Gonna Wait, Blackberry Smoke
Ain't It a Sin, Charles Bradley
Ain't It Funny, Danny Brown
Ain't My Fault , Zara Larsson
Ain't No Man, The Avett Brothers
Ain't No Rhyme, Jake Bugg
Ain't Your Mama, Jennifer Lopez
Alarm, Anne-Marie
Alaska, Maggie Rogers
Alien, Cassadee Pope
All Eyez , Game
All For One, The Stone Roses
All Goes Wrong , Chase & Status
All I Think About Now, Pixies
All In My Head (Flex), Fifth Harmony
All Known Things, Eleanor Friedberger
All My Children, Gucci Mane
All Night, Beyoncé
All Night, Chance the Rapper
All Night, The Vamps
All of Me, Big Gigantic
All That, Jake Bugg
All the Pretty Girls, Kenny Chesney
All The Rage, Allie X
All The Way Up, Fat Joe and Remy Ma
All the Ways, Wet
All Time Low , Jon Bellion
All We Ever Knew, The Head and the Heart
All We Got, Chance the Rapper
All We Know, The Chainsmokers
All We Needed , Craig David
Alleluia, Jonathan Jackson + Enation
Almost, DNCE
Alone, Pretenders
Alone, Marshmello
Alone I Stand, Killswitch Engage
