$20 Fine, Jimi Hendrix
﻿(F--- A) Silver Lining, Panic! At The Disco
"1, 2, 3 - Mississippi", Brett Young
10 Freaky Girls, Metro Boomin
1933, Frank Turner
1950, King Princess
1969, Kim Wilde
"1985 (Intro to ""The Fall Off"")", J. Cole
1999, Charli XCX
2002, Anne-Marie
21st Century Survival Blues, Frank Turner
24/7, Meek Mill
3 Nights, Dominic Fike
44 More, Logic
44/876, Sting & Shaggy
4rm Me to U, Rich Homie Quan
4th Dimension, Kids See Ghosts
5 Dollars, Christine and the Queens
5% Tint, Travis Scott
60 & Punk, Death Cab for Cutie
65th & Ingleside, Chance the Rapper
66, Lil Yachty
7 Days, Alessia Cara
7 Rings, Ariana Grande
713, The Carters
8 Gods of Harlem, Rosanne Cash
8 out of 10, Drake
90's Country, Walker Hayes
99, Barns Courtney
A Boat To An Island On The Wall, Ben Howard
A Different Gun , Johnny Marr
A Lifetime to Repair, Kylie Minogue
A Little Honey, Nathaniel Rateliff & the Night Sweats
A Little More, Alessia Cara
A Lot, 21 Savage
A Million Bucks On A Queen Motel Bed, Eric Hutchinson
A Million Dreams, Ziv Zaifman
A Million Lights, Michael W. Smith
A Reason to Fight, Disturbed
A Youth Written In Fire, Snow Patrol
A$AP Forever, A$AP Rocky
About You, Mike Shinoda
Abulia and Akrasia, Jack White
Accelerate, Christina Aguilera
Accidentally On Purpose, The Shires
Act Up, City Girls
Actor Attractor, Johnny Marr
Actual Pain, Good Charlotte
Adrenaline, Bury Tomorrow
Advice, Cadet
After the Storm, Kali Uchis
Aftermath, Rolo Tomassi
Age of Man, Greta Van Fleet
Air Force , DigDat
Airplane pt. 2, BTS
Alcohol You Later, Mitchell Tenpenny
Algorithm, Muse
All Day Long , Garth Brooks
All For You, Years & Years
All Girls Are The Same, Juice WRLD
All Hell Broke Loose, Montgomery Gentry
All I Am, Jess Glynne
All I Am, Alice in Chains
All Mine, Kanye West
All My Dreams, Richard Ashcroft
All My Friends, The Revivalists
All Nerve, The Breeders
All of It, Cole Swindell
All or Nothing, Naughty Boy
All Out Life, Slipknot
All The Stars, Kendrick Lamar
All These Hellos, Louise Goffin
All to Myself, Dan + Shay
All We Know, Alessia Cara
Allison's Gone, Hawk
Alone, Toto
Already Gone, Disturbed
Always In My Dreams, Joan Armatrading
Always Remember Us This Way, Lady Gaga
American Bad Dream , Kane Brown
American Made, Dee Snider
American Scandal, Ashley McBryde
American Sports, Arctic Monkeys
Amorfoda, Bad Bunny
Andy (I Can't Live Without You), Ashley McBryde
Angels, Danny Worsnop
Anna Wintour, Azealia Banks
Annabel, Ash
Answerphone, Banx & Ranx
Anthem, Greta Van Fleet
Antidote, Tara Lynch
Apes--t, The Carters
Are You Just Sleeping?, Sheridan Smith
Are You Ready, Disturbed
Armed & Dangerous, Juice WRLD
Armor, Sara Bareilles
Arms Around You, XXXTENTACION
As I Am, H.E.R.
Asking for a Friend, Devin Dawson
ATM, J. Cole
Ay Caramba, Stay Flee Get Lizzy
Azukita, Steve Aoki
Babe, Sugarland
Baby, Clean Bandit
"Baby, I'm A Queen", Sofi Tukker
Back Again, You Me at Six
Back and Forth, MK
Back In My Body, Maggie Rogers
Back Porch Bottle Service, AJ McLean
Back to Life, Rascal Flatts
Back to You, Selena Gomez
Backin' It Up, Pardison Fontaine
Backup Plan, Plested
Bad, XXXTENTACION
Bad Dreams, Pete Yorn and Scarlett Johansson
Bad Girlfriend, Anne-Marie
Bad Liar, Imagine Dragons
Bad Luck, Neko Case
Bad Vibe, M.O
Ball for Me, Post Malone
Bandito, Twenty One Pilots
Barbie Dreams, Nicki Minaj
Barbie Tingz, Nicki Minaj
Barrowland Star, Simple Minds
Basic Needs, Jonathan Davis
Bastards, Machine Head
Batphone, Arctic Monkeys
Be Alright, Dean Lewis
Be Careful, Cardi B
Be Legendary, Pop Evil
Be More Kind, Frank Turner
Beach House, The Chainsmokers
Beautiful Crazy, Luke Combs
Beautiful Day, Vincent Poag
Beautifully Broken, Plumb
Bebe, 6ix9ine
Become The Storm, Dee Snider
