title,artist,year,track_id,name,artists,id,album.release_date
(I Called Her) Tennessee,Tim Dugger,2012,30s5eMc8gKLktD7f4qQsIN,(I Called Her) Tennessee (made famous by Tim Dugger) [Karaoke Version with Lead Vocal],Off The Record,30s5eMc8gKLktD7f4qQsIN,2012-10-23
"10,000 Reasons (Bless the Lord)",Matt Redman,2012,2MobJagQB0dGJoRqI8OT0m,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",Matt Redman,2MobJagQB0dGJoRqI8OT0m,2012-01-01
100 Proof,Kellie Pickler,2012,3A3wFMufIxSUrvfGUVYvhE,100 Proof,Kellie Pickler,3A3wFMufIxSUrvfGUVYvhE,2012-01-23
101,Alicia Keys,2012,7wMPExYjxfDzu4SWDUt7dQ,101,Alicia Keys,7wMPExYjxfDzu4SWDUt7dQ,2012-11-26
1313,The Big Pink,2012,6OHDgi8V4Q6hFYvQavBVaF,1313,The Big Pink,6OHDgi8V4Q6hFYvQavBVaF,2012-01-16
1961,The Fray,2012,2MLQ6QSJLqaqnz00rCDsFl,1961,The Fray,2MLQ6QSJLqaqnz00rCDsFl,2012-02-07
1994,Jason Aldean,2012,3C6WblKJq7rpsPsIafytEV,1994,Jason Aldean,3C6WblKJq7rpsPsIafytEV,2012-10-16
1997,Saint Motel,2012,7jbIhbNMWgtfkenoeZLDNg,1997,Saint Motel,7jbIhbNMWgtfkenoeZLDNg,2012-07-10
2 Reasons,Trey Songz,2012,6lgzJuBX3iqevLdtgNlyAU,2 Reasons (feat. T.I.),"Trey Songz, T.I.",6lgzJuBX3iqevLdtgNlyAU,2012-08-17
21,Delilah,2012,31mHCYslxEmQumwNd7a4hb,21,Delilah,31mHCYslxEmQumwNd7a4hb,2012-05-01
22,Taylor Swift,2012,6ce41JVa6KFaryfmC2bu2W,22,Taylor Swift,6ce41JVa6KFaryfmC2bu2W,2012-10-22
27 Million,Matt Redman & LZ7,2012,5Ifsg1L8t0KFgLauPDNyUW,Twenty Seven Million,Matt Redman,5Ifsg1L8t0KFgLauPDNyUW,2012/1/1
3 CATT Boogie,Kid Rock,2012,5gCOe1VmnQgFtEUKjGV3hf,3 CATT Boogie,Kid Rock,5gCOe1VmnQgFtEUKjGV3hf,2012-11-16
3 Kings,Rick Ross,2012,4K1XbNoR2iq1KucQzkPnKe,3 Kings,"Rick Ross, Dr. Dre, JAY-Z",4K1XbNoR2iq1KucQzkPnKe,2012-01-01
30 Days,The Saturdays,2012,2pStP05MEfDAievC5fDcX5,30 Days,The Saturdays,2pStP05MEfDAievC5fDcX5,2012-05-11
30 Minute Love Affair,Paloma Faith,2012,1cUUCSG8ocsgedkWhVCe9x,30 Minute Love Affair,Paloma Faith,1cUUCSG8ocsgedkWhVCe9x,2012-10-22
4 Broken Hearts,Norah Jones,2012,6FtRPtCKZONugroZ5ldaS6,4 Broken Hearts,Norah Jones,6FtRPtCKZONugroZ5ldaS6,2012-01-01
