name,artists,id,release_date,hit
(I Called Her) Tennessee (made famous by Tim Dugger) [Karaoke Version with Lead Vocal],Off The Record,30s5eMc8gKLktD7f4qQsIN,2012-10-23,0.0
"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",Matt Redman,2MobJagQB0dGJoRqI8OT0m,2012-01-01,0.0
100 Proof,Kellie Pickler,3A3wFMufIxSUrvfGUVYvhE,2012-01-23,0.0
101,Alicia Keys,7wMPExYjxfDzu4SWDUt7dQ,2012-11-26,0.0
1313,The Big Pink,6OHDgi8V4Q6hFYvQavBVaF,2012-01-16,0.0
1961,The Fray,2MLQ6QSJLqaqnz00rCDsFl,2012-02-07,0.0
1994,Jason Aldean,3C6WblKJq7rpsPsIafytEV,2012-10-16,1.0
1997,Saint Motel,7jbIhbNMWgtfkenoeZLDNg,2012-07-10,0.0
2 Reasons (feat. T.I.),"Trey Songz, T.I.",6lgzJuBX3iqevLdtgNlyAU,2012-08-17,1.0
21,Delilah,31mHCYslxEmQumwNd7a4hb,2012-05-01,0.0
22,Taylor Swift,6ce41JVa6KFaryfmC2bu2W,2012-10-22,1.0
Twenty Seven Million,Matt Redman,55Ifsg1L8t0KFgLauPDNyUW,2012/1/1,0.0
3 CATT Boogie,Kid Rock,5gCOe1VmnQgFtEUKjGV3hf,2012-11-16,0.0
3 Kings,"Rick Ross, Dr. Dre, JAY-Z",4K1XbNoR2iq1KucQzkPnKe,2012-01-01,0.0
30 Days,The Saturdays,2pStP05MEfDAievC5fDcX5,2012-05-11,0.0
30 Minute Love Affair,Paloma Faith,1cUUCSG8ocsgedkWhVCe9x,2012-10-22,0.0
4 Broken Hearts,Norah Jones,6FtRPtCKZONugroZ5ldaS6,2012-01-01,0.0
4 Letter Word,Diggy,4HS0ivoARnh6pHkeJgKBUh,2012-03-19,0.0
40 Mark Strasse,The Shins,3klMnAnAWXdo6MomqXeJMn,2012-03-16,0.0
"""45""",The Gaslight Anthem,25Sd73fleKUVPNqITPZkn1,2012-01-01,0.0
48 to Go,The Fray,1ViVY9GWzK2HigCiDSDh76,2012-02-07,0.0
4th And Vine,Sinéad O'Connor,1vfEb4GFAGX4Xp3miejqbh,2012-03-05,0.0
4th Of July,Amy Macdonald,2Q7RfKKC6kqTZIWqauOiAO,2012-01-01,0.0
4th Street Feeling,Melissa Etheridge,1d1GKqeB0Q3B0DjXDoP0PZ,2012-01-01,0.0
5-1-5-0,Dierks Bentley,2WKCH4ISejDV9ad7iPp5XU,2012-01-01,1.0
5/6,Jason Mraz,4Cd1nnR2RKdbFN2eTaxAFR,2012-04-13,0.0
50 Ways to Say Goodbye,Train,2NniAhAtkRACaMeYt48xlD,2012-04-17,1.0
77,The Big Pink,6qvozNhiGAS3bSNvG7UL3R,2012-01-16,0.0
773 Love,Jeremih,0HBrQjHR5ZCYK5QYfzDbed,2012-01-01,0.0
88 (feat. Jadakiss),"Diggy, Jadakiss",2Iau58G6t88PxboDyYERP0,2012-03-19,0.0
93 Million Miles,Jason Mraz,1s8tP3jP4GZcyHDsjvw218,2012-04-13,0.0
99 Revolutions,Green Day,3CgT96psOXwPssPNvYPclP,2012-12-11,0.0
9th Inning (feat. Timbaland),"Missy Elliott, Timbaland",0MPSjzpXhDyHAF2hGWl3mY,2012-09-18,0.0
A Disaster,Melissa Etheridge,0sXGFztu4NdZJ3Dhyhhzjr,2012-01-01,0.0
A Face To Call Home,John Mayer,601913bnwOH19HblKXMr2d,2012-05-18,0.0
A Little Reminder That I'll Never Forget,lostprophets,5RYQLh2bVBs7AB5MnghNi7,2012-04-02,0.0
A Match Into Water,Pierce The Veil,54MXF9I8s3DuiQo3g0gZ5k,2012-07-17,0.0
A Matter Of Time,The Killers,4InHnDaJdFlDQDCENmm25W,2012-09-17,0.0
A Million Lights,Cheryl,6t4UzzSptJlSu1n8SPT3oN,2012-01-01,0.0
A Part of Me,"Neck Deep, Laura Whiteside",65LjCuIAEUX2AmWUjD9tA3,2012-09-11,0.0
A Place Above,"Jehnny Beth, Cillian Murphy",2zW1XlHAazTViSVM60yh6z,2020-06-12,0.0
A Prayer,Gordon Bahary,5bvG3JuW5b508b29PJFsTw,2012-08-28,0.0
A Queens Story,Nas,5ZFe9xHarx827MT4ecHQvi,2012-01-01,0.0
A Rumor of Skin,Stone Sour,1MlyPHPWypoxSG6Qwb2qXv,2012-10-17,0.0
A Soft Place To Land,Kathleen Edwards,7djHLw3DRrDIkemd2ktKGH,2012-01-01,0.0
A Song For Where I'm From,lostprophets,4uWw5XZQdgq9VVp5fZsU2X,2012-04-02,0.0
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,"Christina Perri, Steve Kazee",7hn8Q8WAxFdL4aZ159GI7C,2012-11-09,1.0
