"title","artist","hit"
"_And Still I Wander South","Knocked Loose",0
"_Arc_","Everything Everything",0
"¡Viva La Gloria!","Green Day",0
"¿Viva La Gloria? (Little Girl)","Green Day",0
"¿Which Side Are You On?","Ani DiFranco",0
"...And the World Laughs With You","Flying Lotus",0
"...As the Crow Flies","Newsted",0
"…Like Clockwork","Queens of the Stone Age",0
"…Meltdown","Enter Shikari",0
"﻿...Ready For It?","Taylor Swift",0
"...To Be Loved","Papa Roach",0
"'03 Bonnie And Clyde","Jay-Z",0
"﻿'Round Here Buzz","Eric Church",0
"'Til I Get It Right","Fastball",0
"'Til Kingdom Come","Coldplay",0
"'Tis the Damn Season","Taylor Swift",0
"(800) HUMAN","Darwin Deez",0
"﻿(Coffee's for Closers)","Fall Out Boy",0
"(Don't Fall Into) The Mason's Arms","Ian Reddington",0
"﻿(Don't Let Them) Cool Off","Peter Bjorn and John",0
"(Drop Dead) Beautiful","Britney Spears",0
"﻿(F--- A) Silver Lining","Panic! At The Disco",0
"﻿(F.U.R.B.) FU Right Back","Frankee",0
"(Get Off Your) High Horse Lady","Oasis",0
"(Ha Ha) Slow Down","Fat Joe",0
"(I Called Her) Tennessee","Tim Dugger",0
"﻿(I Can't Make It) Another Day","Michael Jackson",0
"﻿(I Keep On) Rising Up","Mike Doughty",0
"(I Like It When You) Smile","Harry Connick, Jr.",0
"(I Like) The Way You Love Me","Michael Jackson",0
"(I Miss The) Tokyo Skyline","Manic Street Preachers",0
"(I Used To Make Out With) Medusa","Bring Me The Horizon",0
"(I Wanna Live In A Dream In My) Record Machine","Noel Gallagher's High Flying Birds",0
"(I Want to) Come Home","Paul McCartney",0
"(I'm Gonna) Love Me Again","Elton John",0
"(If You're Wondering If I Want You To) I Want You To","Weezer",1
"(It's Not War) Just the End of Love","Manic Street Preachers",0
"(It) Feels So Good","Steven Tyler",1
"(Kissed You) Good Night","Gloriana",1
"﻿(Mortis)","Kasabian",0
"(Motor) Way of Life","Lower Than Atlantis",0
"(No More) Paddy's Lament","Flogging Molly",0
"(No More) What Ifs","Natasha Bedingfield",0
"(No One Knows Me) Like The Piano","Sampha",0
"(Oh No, What Shall We Do?) Daddy Lost His Head In A Coup","Martin Gordon",0
"﻿(Pop)Ular SciencE","Bayside",0
"(Reach Up for the) Sunrise","Duran Duran",0
"(Shiva)","Kasabian",0
"(Stranded On) The Wrong Beach","Noel Gallagher's High Flying Birds",0
"(This Ain't No) Drunk Dial","A Thousand Horses",0
"(This Is) The Dream of Evan and Chan","Dntel",0
"﻿(Under The) Heavy Sun","Daniel Lanois",0
"(What Is) Love?","Jennifer Lopez",0
"﻿(When You Gonna) Give It Up To Me","Sean Paul",0
"(You Can't Blame It On) Anybody","Phoenix",0
"(You Will) Set the World On Fire","David Bowie",0
"[JFK]","Muse",0
"{Awayland}","Villagers",0
"@ Meh","Playboi Carti",0
"@!#?@! (swear words)","Motion City Soundtrack",0
"#1 Fan","Plies",0
"#1Nite (One Night)","Cobra Starship",0
"#29 Strafford Apts","Bon Iver",0
"#Beautiful","Mariah Carey",1
"﻿#GETITRIGHT","Miley Cyrus",0
"#Selfie","The Chainsmokers",0
"#thatPower","will.i.am",0
"+1","Martin Solveig",0
"$ (dollar sign)","Prince",0
"$20 Fine","Jimi Hendrix",0
"$ave Dat Money","Lil Dicky",1
"0 to 100/ The Catch Up","Drake",0
"﻿00000 Million","Bon Iver",0
"1 Night","Lil Yachty",1
"1 Night","Mura Masa",0
"1 Step Forward, 3 Steps Back","Olivia Rodrigo",1
"1 Sun","Miley Cyrus",0
"﻿1 Thing","Amerie",0
